Aja Smith,"10/03/2020, 15:27:33",@RossSchumann @TwitterSupport Ignorant! Jared was instrumental with the Abraham Accords.,https://twitter.com/AjaforCongress/status/1312413990148960256
"Steel, Michelle","10/30/2020, 19:54:07",Seen this disclaimer on ads lying about my record? It means it was paid for by the $7.4 million Nancy Pelosi's Super PAC is using to get Harley Rouda elected. She's all in for her lackey @HarleyRouda who has voted with her 100% of the time. https://t.co/EDCUUrT090,https://twitter.com/MichelleSteelCA/status/1322265547472470017
Josh Barnett,"11/02/2020, 13:19:26",@AlexBerenson These polls are off by a ton,https://twitter.com/BarnettforAZ/status/1323253386800635904
Rob Weber,"10/22/2020, 19:47:01",Can anyone explain to me how climate change scientists will make THE EARTH comply with their demands?,https://twitter.com/WestPointWeber/status/1319364655991709697
Errol Webber,"10/14/2020, 21:13:01","Hunter Biden hasn’t really been out on the campaign trail with his dad. Perhaps if Joe would get a stripper pole installed in the private jet he’s using he could convince Ole Hunter to join the trail.

In contrast, POTUS’s kids have worked tirelessly for their Dad’s re-election.",https://twitter.com/ErrolWebber/status/1316487195197349896
Miriam Berry,"10/27/2020, 08:38:38","@GOP @realDonaldTrump It will hurt Vermont. I have coworkers who have to drive 40 minutes to get to work. They are nurses and nursing assistants. ""Green"" deals will hurt them. We have too few caregivers as it is!
#voteMiriamBerry",https://twitter.com/MiriamBerry3/status/1321008390487842816
Greg Musselwhite,"10/22/2020, 11:45:00",@UsaDevildog @ShutterHoff That must have been a big blow to his ego... lol,https://twitter.com/GregMusselwhit3/status/1319243351535849474
Rob Weber,"10/17/2020, 13:10:14",Hard to believe Joe Biden was ever the fastest sperm.,https://twitter.com/WestPointWeber/status/1317452864986484738
Christine Quinn,"10/30/2020, 14:18:06","TEAM QUINN knocking on doors today! There’s no turning back- firmly moving forward in God’s grace, mercy and favor! #votequinn #winquinn2020 @RealOmarNavarro @JoeGruters @GovRonDeSantis https://t.co/5xgz2HOs9I",https://twitter.com/ElectQuinn/status/1322180985337847809
Mark Richardson,"10/21/2020, 10:02:30","@tedcruz Nailed it, sir. Great post, Shirley 😂",https://twitter.com/RichardsonOH3/status/1318855172433547265
Robert Lancia,"10/03/2020, 18:03:34","A couple of group photos with today’s participants in our second of four, “Ballin’ with Bob” basketball clinics, hosted by my dear friend Lamonte Thomas at Neutaconkanut Park in Providence! https://t.co/37t54JvcdX",https://twitter.com/BobLancia/status/1312453254735777792
Aja Smith,"10/31/2020, 15:09:54",@wlctv_ca Thank you so much!,https://twitter.com/AjaforCongress/status/1322556407250513927
Jeanne Ives,"10/03/2020, 18:44:13","Thanks, @DanCrenshawTX ! https://t.co/qCTHhCx835",https://twitter.com/JeanneIves/status/1312463482202152960
Thomas Kean Jr.,"10/05/2020, 12:50:01","Watch today's Gateway Regional Chamber of Commerce Debate at 10AM here: https://t.co/4E71RxkWzR

Support Tom on twitter using the hashtags #TeamKean &amp; #NJ07 - Thank you! 

If you'd like to help our campaign compete financially, please donate here: https://t.co/4ion2r8ODc",https://twitter.com/KeanForCongress/status/1313099121205616643
"Steel, Michelle","10/07/2020, 01:00:00","Con-artist Congressman Harley Rouda failed to pay $222,306 in taxes but that didn’t stop him from supporting tax hikes on income taxes, property taxes, gas taxes, and 401k taxes. Harley Rouda = Higher Taxes. #CA48 https://t.co/XLLHdEfJ6g",https://twitter.com/MichelleSteelCA/status/1313645217736581120
Mark Reed,"10/10/2020, 02:23:12",https://t.co/KNNRq62r5q,https://twitter.com/MarkReed1776/status/1314753316820152321
Jeanne Ives,"10/24/2020, 01:18:32",One of the coolest things about this race has been earning the support of a patriot like @DanCrenshawTX #IL06 https://t.co/kp9B8Skv26,https://twitter.com/JeanneIves/status/1319810474112962560
Josh Barnett,"10/23/2020, 23:53:16",🇺🇸🇺🇸🇺🇸 https://t.co/gD6EtJlije,https://twitter.com/BarnettforAZ/status/1319789014501650432
Amy Ryan Courser,"10/12/2020, 05:19:09","I am disgusted, angry and ready to fight for our state. Time to prosecute criminals to the fullest extent of the law. I am YOUR law &amp; order candidate. My opponent will not stand up for what’s right. He is complacent and hiding. Fire him  and help me take back our state! #voteAmy https://t.co/CoQei4BkKP",https://twitter.com/AmyforOregon/status/1315522373915799553
Kimberly Klacik,"10/27/2020, 22:38:51","Since @Mfume4Congress peeps have been pulling our yard signs out &amp; tossing them, we are now installing bigger signs you can’t pull.

Terrible idea. We raised $7.3M bruh. Don’t mess with me 😡 https://t.co/98KVfwKVK5",https://twitter.com/kimKBaltimore/status/1321219838744940546
Dave Giles,"10/08/2020, 20:31:37",@JudicialWatch @realDonaldTrump @TomFitton Vote now,https://twitter.com/VoteGiles/status/1314302452003348480
Chele Farley,"10/27/2020, 11:59:27","This election, bail reform is on the ticket. Democrats, like my opponent Sean Maloney, want to keep releasing dangerous criminals back onto our streets. Vote Republican down the line to keep our communities safe. #BringBackBail #NY18 #Farley4NY https://t.co/BUKSsO3JOs",https://twitter.com/CheleFarley/status/1321058927895871488
Tamika Hamilton,"10/23/2020, 02:27:37",AOC + 3...I’m dead.,https://twitter.com/TamikaGHamilton/status/1319465472539066368
Errol Webber,"10/23/2020, 07:06:38",Americans are starting to social distance from @TheDemocrats.,https://twitter.com/ErrolWebber/status/1319535687926870016
Kimberly Klacik,"10/08/2020, 01:56:51","“I love talking to Joe!”

😂😭

How many months ago was he a racist loving segregation? This is hilarious.

#VPDebate",https://twitter.com/kimKBaltimore/status/1314021912427851776
Errol Webber,"10/12/2020, 12:01:32","Today is October 12, 2020. 

There are 22 days until President Trump is re-elected.

Liberals, what are you offended by today?",https://twitter.com/ErrolWebber/status/1315623636821254144
Chris Bish,"10/09/2020, 23:42:50",https://t.co/HVKyXcfXfL I  would vote for this Judge. It is time to take our lives back,https://twitter.com/BishForCongress/status/1314712959935893506
Mary Fay,"10/28/2020, 15:38:45","Agree 100%. Plus unsustainable state salaries, pension, and benefits, creating unfounded liabilities. Would you start a business in this high tax state?  Not related to Covid at all. Been a laggard for decades. https://t.co/8a8S98NZBv",https://twitter.com/Fay4Congress/status/1321476506070224899
Mark Reed,"10/31/2020, 15:11:29",@realDonaldTrump @CliffBentz These are all great recommendations however how about CALIFORNIA Mark Reed for Congress 30th District running against Sherman who was the first to try and impeach you sir?,https://twitter.com/MarkReed1776/status/1322556807802281984
"Fischbach, Michelle","10/27/2020, 00:03:40","Just over a week until the election, and we need your help to get across the finish line and retire @collinpeterson once and for all. Donate here today: https://t.co/Z7CXOVFry5  #mn07",https://twitter.com/FischbachMN7/status/1320878796959059968
Scott Taylor,"10/09/2020, 12:27:23","Do you support packing the U.S. Supreme Court, @ElaineLuriaVA ?",https://twitter.com/Scotttaylorva/status/1314542977331724288
