"Burgess, Michael","10/20/2020, 18:23:13","I joined a letter asking @HouseCommerce to have a hearing on #Section230 &amp; Big Tech censorship policies. Big Tech has a First Amendment right to regulate speech that they host, but their methods should be transparent &amp; applied equally to all users, regardless of political view. https://t.co/dcXRcUChLL",https://twitter.com/michaelcburgess/status/1318618791379611648
Kathy Barnette,"10/15/2020, 19:55:17","Don't Forget Our ""SUPPORT OUR POLICE &amp; VETERANS RALLY"" This Sunday!

Join Kathy Barnette and a great line up of guest speakers at the Kathy Barnette for Congress headquarters.
We will have Music, Food Trucks, and beverages for guests. Entry i...
https://t.co/ojWUoUW0VD https://t.co/BPXA9kIJnV",https://twitter.com/Kathy4Truth/status/1316830022263623686
"Calvert, Ken","10/27/2020, 21:31:07","90,000 jobs in the 42nd Congressional District have been saved thanks to the Paycheck Protection Program, which Congress passed earlier this year. With money still in the account, Speaker Pelosi needs to stop blocking the bipartisan support for restarting this job saving program. https://t.co/8NfSnBfSCc",https://twitter.com/KenCalvert/status/1321202793932156928
"Johnson, Dusty","10/19/2020, 22:16:00","A few observations from my great day as a #MiddleSchoolSubstitute:

1. These kids are great. Some people say the future is bleak. Maybe, but these kids have tons of potential.",https://twitter.com/RepDustyJohnson/status/1318314984372273152
Casper Stockham,"10/25/2020, 20:44:26","Campaign Online Town Hall Call TONIGHT!
https://t.co/56PqBzrxRR",https://twitter.com/Casper4Colorado/status/1320466270853226498
Chele Farley,"10/21/2020, 23:42:39","I am honored to be endorsed by the Police Conference of New York, Inc. PCNY represents over 200 police associations, plus 7 police conferences and one retired police association, making them the voice of 25,000 current and retired police officers in the state.",https://twitter.com/CheleFarley/status/1319061569066700801
"McClain, Lisa","10/27/2020, 16:43:59","It was a huge honor to introduce Donald Trump Jr., yesterday at an event in Washington, MI, supporting President Donald Trump! Michigan plays an important role in this election and we need to ensure that every Republican gets out and votes. #VOTERED #LisaMcClainForCongress https://t.co/BzOOB6B4sm",https://twitter.com/LisaForCongress/status/1321130533376720898
Errol Webber,"10/27/2020, 13:38:15","@realDonaldTrump TRUMP TO-DO LIST, NOVEMBER 4, 2020:

1 - Laugh at Democrats
2 - defund NPR
3 - Repeal section 230
4 - Retire Nancy Pelosi
5 - Destroy ANTIFA",https://twitter.com/ErrolWebber/status/1321083792619196416
Wendell Champion,"10/17/2020, 00:18:30","Volunteers Adrienne and Joshua Wright were at the West Gray polling site today. Thank you for standing strong for Team Champion!! #togetherwewin! 

Sign-up for a 2-hour shift here: https://t.co/fPX4CJfpJW https://t.co/IbSUxfGTEZ",https://twitter.com/ChampionTx2020/status/1317258650453528578
Nisha Sharma,"10/11/2020, 03:31:51","@YuvrajAgarwal20 The US has a bicameral Congress: the House is comprised of 435 Representatives (akin to Lok Sabha), and 100 Senators that make up the Senate (akin to Rajya Sabha). I’m running for my House District in California. The legislature serves as a check President &amp; Judiciary’s power.",https://twitter.com/UsaNisha/status/1315132981812498433
"Miller, Carol","10/28/2020, 16:11:56","I joined @SenCapito, @JimBridenstine, @lunarloral, to talk with young girls in #WV about @NASA's #Artemis program  to put a man and woman on the moon by 2024. Seeing the girls' enthusiasm for STEM &amp; space was inspiring. 

America's future astronauts could be from #WV! 🚀 https://t.co/LsnOpHg2SN",https://twitter.com/RepCarolMiller/status/1321484858477170690
"Reschenthaler, Guy","10/03/2020, 22:00:00","This week @RepSwalwell &amp; I joined @realclearnews &amp; @NationalMining to discuss the launch of our Critical Minerals Caucus. Together through our bipartisan efforts, we will find solutions to reduce our reliance on foreign sources for rare earth elements.

https://t.co/GSDPnHuOr3",https://twitter.com/GReschenthaler/status/1312512753668698120
