Kweisi Mfume,Democratic,Special elections,0,Campaign,Mfume4Congress,Personal,None,Official,RepKweisiMfume
Kimberly Klacik,Republican,Special elections,0,Campaign,kimKBaltimore,Personal,None,Official,None
Mike Garcia,Republican,Special elections,0,Campaign,None,Personal,None,Official,RepMikeGarcia
Christy Smith,Democratic,Special elections,0,Campaign,christysmithca,Personal,None,Official,None
Tom Tiffany,Republican,Special elections,0,Campaign,TomTiffanyWI,Personal,None,Official,RepTiffany
Tricia Zunker,Democratic,Special elections,0,Campaign,TriciaforWI,Personal,None,Official,None
Chris Jacobs,Republican,Special elections,0,Missing,Missing,Missing,Missing,Missing,Missing
Nate McMurray,Democratic,Special elections,0,Campaign,Nate_McMurray,Personal,None,Official,None
Kwanza Hall,Democratic,Special elections,0,Campaign,None,Personal,None,Official,None
Robert Michael Franklin Jr.,Democratic,Special elections,0,Missing,Missing,Missing,Missing,Missing,Missing
Jerry Carl,Republican,Alabama,1,Campaign,None,Personal,None,Official,RepJerryCarl
James Averhart,Democratic,Alabama,1,Campaign,JAverhart2020,Personal,None,Official,None
Barry Moore,Republican,Alabama,2,Campaign,None,Personal,None,Official,RepBarryMoore
Phyllis Harvey-Hall,Democratic,Alabama,2,Campaign,PhyllisDHHall,Personal,None,Official,None
Mike Rogers,Republican,Alabama,3,Campaign,None,Personal,None,Official,RepMikeRogersAL
Adia Winfrey,Democratic,Alabama,3,Campaign,drdia,Personal,None,Official,None
Robert Aderholt,Republican,Alabama,4,Campaign,None,Personal,None,Official,Robert_Aderholt
Rick Neighbors,Democratic,Alabama,4,Campaign,VoteNeighbors,Personal,None,Official,None
Mo Brooks,Republican,Alabama,5,Campaign,MoBrooks,Personal,None,Official,RepMoBrooks
Gary Palmer,Republican,Alabama,6,Campaign,None,Personal,None,Official,USRepGaryPalmer
Terri Sewell,Democratic,Alabama,7,Campaign,None,Personal,None,Official,RepTerriSewell
Don Young,Republican,Alaska,1,Campaign,None,Personal,None,Official,None
Alyse Galvin,Independent,Alaska,1,Campaign,AlyseGalvin,Personal,None,Official,None
Tom O'Halleran,Democratic,Arizona,1,Campaign,None,Personal,None,Official,repohalleran
Tiffany Shedd,Republican,Arizona,1,Campaign,Tiffany_Shedd,Personal,None,Official,None
Ann Kirkpatrick,Democratic,Arizona,2,Campaign,Ann_Kirkpatrick,Personal,None,Official,RepKirkpatrick
Brandon Martin,Republican,Arizona,2,Campaign,PathForFreedom,Personal,None,Official,None
Raúl Grijalva,Democratic,Arizona,3,Missing,Missing,Missing,Missing,Missing,Missing
Daniel Wood,Republican,Arizona,3,Campaign,DWood4Congress,Personal,None,Official,None
Paul Gosar,Republican,Arizona,4,Campaign,None,Personal,DrPaulGosar,Official,RepGosar
Delina DiSanto,Democratic,Arizona,4,Campaign,delina4az,Personal,None,Official,None
Andy Biggs,Republican,Arizona,5,Campaign,andybiggs4az,Personal,None,Official,RepAndyBiggsAZ
Joan Greene,Democratic,Arizona,5,Campaign,joangreeneaz,Personal,None,Official,None
David Schweikert,Republican,Arizona,6,Campaign,None,Personal,None,Official,RepDavid
Hiral Tipirneni,Democratic,Arizona,6,Campaign,hiral4congress,Personal,None,Official,None
Ruben Gallego,Democratic,Arizona,7,Campaign,None,Personal,None,Official,RepRubenGallego
Joshua Barnett,Republican,Arizona,7,Missing,Missing,Missing,Missing,Missing,Missing
Debbie Lesko,Republican,Arizona,8,Campaign,DebbieLesko,Personal,None,Official,RepDLesko
Michael Muscato,Democratic,Arizona,8,Campaign,michael_muscato,Personal,None,Official,None
Greg Stanton,Democratic,Arizona,9,Campaign,gregstantonaz,Personal,None,Official,repgregstanton
Dave Giles,Republican,Arizona,9,Campaign,VoteGiles,Personal,None,Official,None
Rick Crawford,Republican,Arkansas,1,Campaign,None,Personal,None,Official,RepRickCrawford
French Hill,Republican,Arkansas,2,Campaign,None,Personal,None,Official,RepFrenchHill
Joyce Elliott,Democratic,Arkansas,2,Campaign,xjelliott,Personal,xjelliott,Official,None
Steve Womack,Republican,Arkansas,3,Campaign,None,Personal,None,Official,rep_stevewomack
Celeste Williams,Democratic,Arkansas,3,Campaign,CelesteforAR,Personal,None,Official,None
Michael Kalagias,Libertarian,Arkansas,3,Campaign,None,Personal,None,Official,None
Bruce Westerman,Republican,Arkansas,4,Campaign,None,Personal,bruce_westerman,Official,RepWesterman
William Hanson,Democratic,Arkansas,4,Campaign,WilliamHansonAR,Personal,None,Official,None
Frank Gilbert,Libertarian,Arkansas,4,Campaign,None,Personal,None,Official,None
Doug LaMalfa,Republican,California,1,Campaign,DougLaMalfa,Personal,None,Official,RepLaMalfa
Audrey Denney,Democratic,California,1,Campaign,audrey4congress,Personal,None,Official,None
Jared Huffman,Democratic,California,2,Campaign,JaredHuffman,Personal,None,Official,RepHuffman
Dale Mensing,Republican,California,2,Campaign,None,Personal,MensingDale,Official,None
John Garamendi,Democratic,California,3,Campaign,JohnGaramendi,Personal,None,Official,RepGaramendi
Tamika Hamilton,Republican,California,3,Campaign,TamikaGHamilton,Personal,None,Official,None
Tom McClintock,Republican,California,4,Campaign,None,Personal,None,Official,RepMcClintock
Brynne Kennedy,Democratic,California,4,Campaign,BrynneSpeak,Personal,KennedyBrynne,Official,None
Mike Thompson,Democratic,California,5,Campaign,Mike_CA05,Personal,None,Official,RepThompson
Scott Giblin,Republican,California,5,Campaign,None,Personal,None,Official,None
Doris Matsui,Democratic,California,6,Campaign,Matsui4Congress,Personal,None,Official,DorisMatsui
Chris Bish,Republican,California,6,Campaign,BishForCongress,Personal,ChrisBishRE,Official,None
Ami Bera,Democratic,California,7,Campaign,None,Personal,None,Official,RepBera
Buzz Patterson,Republican,California,7,Campaign,BuzzPatterson,Personal,None,Official,None
Jay Obernolte,Republican,California,8,Campaign,TeamObernolte,Personal,None,Official,JayObernolte
Christine Bubser,Democratic,California,8,Missing,Missing,Missing,Missing,Missing,Missing
Jerry McNerney,Democratic,California,9,Campaign,jerrymcnerney,Personal,None,Official,RepMcNerney
Tony Amador,Republican,California,9,Campaign,None,Personal,None,Official,None
Josh Harder,Democratic,California,10,Campaign,JoshHarder,Personal,None,Official,RepJoshHarder
Ted Howze,Republican,California,10,Campaign,Ted_Howze,Personal,None,Official,None
Mark DeSaulnier,Democratic,California,11,Campaign,MarkDeSaulnier,Personal,None,Official,RepDeSaulnier
Nisha Sharma,Republican,California,11,Campaign,UsaNisha,Personal,None,Official,None
Nancy Pelosi,Democratic,California,12,Campaign,None,Personal,None,Official,SpeakerPelosi
Shahid Buttar,Democratic,California,12,Campaign,None,Personal,Sheeyahshee,Official,None
Barbara Lee,Democratic,California,13,Campaign,BLeeForCongress,Personal,None,Official,RepBarbaraLee
Nikka Piterman,Republican,California,13,Campaign,NikkaGOP,Personal,None,Official,None
Jackie Speier,Democratic,California,14,Campaign,JackieSpeier,Personal,None,Official,RepSpeier
Ran Petel,Republican,California,14,Campaign,petel4congress,Personal,None,Official,None
Eric Swalwell,Democratic,California,15,Campaign,ericswalwell,Personal,ericswalwell,Official,RepSwalwell
Alison Hayden,Republican,California,15,Campaign,Alison4Congress,Personal,Elled26,Official,None
Jim Costa,Democratic,California,16,Campaign,None,Personal,None,Official,RepJimCosta
Kevin Cookingham,Republican,California,16,Campaign,KevCookingham,Personal,None,Official,None
Ro Khanna,Democratic,California,17,Campaign,RoKhanna,Personal,None,Official,RepRoKhanna
Ritesh Tandon,Republican,California,17,Campaign,tandon4congress,Personal,None,Official,None
Anna Eshoo,Democratic,California,18,Campaign,None,Personal,None,Official,RepAnnaEshoo
Rishi Kumar,Democratic,California,18,Campaign,rishikumar1,Personal,None,Official,None
Zoe Lofgren,Democratic,California,19,Campaign,ZoeLofgren,Personal,None,Official,RepZoeLofgren
Justin Aguilera,Republican,California,19,Campaign,JoinJustin19,Personal,None,Official,None
Jimmy Panetta,Democratic,California,20,Campaign,None,Personal,None,Official,RepJimmyPanetta
Jeff Gorman,Republican,California,20,Campaign,JeffGormanMRY,Personal,GormanCongress,Official,None
David Valadao,Republican,California,21,Campaign,None,Personal,None,Official,RepDavidValadao
TJ Cox,Democratic,California,21,Campaign,TJCoxCongress,Personal,None,Official,RepTjCox
Devin Nunes,Republican,California,22,Campaign,Team_Nunes,Personal,DevinNunes,Official,None
Phil Arballo,Democratic,California,22,Campaign,philarballo,Personal,None,Official,None
Kevin McCarthy,Republican,California,23,Campaign,kevinomccarthy,Personal,None,Official,GOPLeader
Kim Mangone,Democratic,California,23,Campaign,kimmangone,Personal,None,Official,None
Salud Carbajal,Democratic,California,24,Campaign,None,Personal,None,Official,RepCarbajal
Andy Caldwell,Republican,California,24,Campaign,Caldwell_CA24,Personal,None,Official,None
Mike Garcia,Republican,California,25,Campaign,None,Personal,None,Official,RepMikeGarcia
Christy Smith,Democratic,California,25,Campaign,christysmithca,Personal,None,Official,None
Julia Brownley,Democratic,California,26,Campaign,JuliaBrownley,Personal,None,Official,RepBrownley
Ronda Kennedy,Republican,California,26,Missing,Missing,Missing,Missing,Missing,Missing
Judy Chu,Democratic,California,27,Campaign,JudyChuCampaign,Personal,None,Official,RepJudyChu
Johnny Nalbandian,Republican,California,27,Campaign,Johnny_Congress,Personal,None,Official,None
Adam Schiff,Democratic,California,28,Campaign,AdamSchiff,Personal,None,Official,RepAdamSchiff
Eric Early,Republican,California,28,Campaign,EricEarly_CA,Personal,None,Official,None
Tony Cárdenas,Democratic,California,29,Campaign,None,Personal,Tcardenas,Official,RepCardenas
Angélica Dueñas,Democratic,California,29,Missing,Missing,Missing,Missing,Missing,Missing
Brad Sherman,Democratic,California,30,Campaign,None,Personal,None,Official,BradSherman
Mark Reed,Republican,California,30,Campaign,MarkReed1776,Personal,None,Official,None
Pete Aguilar,Democratic,California,31,Campaign,AguilarCampaign,Personal,aguilarpete,Official,RepPeteAguilar
Agnes Gibboney,Republican,California,31,Campaign,agnes_gibboney,Personal,None,Official,None
Grace F. Napolitano,Democratic,California,32,Missing,Missing,Missing,Missing,Missing,Missing
Joshua Scott,Republican,California,32,Campaign,joshuascottca32,Personal,None,Official,None
Ted W. Lieu,Democratic,California,33,Missing,Missing,Missing,Missing,Missing,Missing
James Bradley,Republican,California,33,Campaign,None,Personal,None,Official,None
Jimmy Gomez,Democratic,California,34,Campaign,JimmyGomezCA,Personal,None,Official,RepJimmyGomez
David Kim,Democratic,California,34,Campaign,None,Personal,None,Official,None
Norma J. Torres,Democratic,California,35,Missing,Missing,Missing,Missing,Missing,Missing
Mike Cargile,Republican,California,35,Campaign,CargileFor,Personal,None,Official,None
Raul Ruiz,Democratic,California,36,Campaign,None,Personal,None,Official,RepRaulRuizMD
Erin Cruz,Republican,California,36,Campaign,RealErinCruz,Personal,None,Official,None
Karen Bass,Democratic,California,37,Campaign,KarenBassTweets,Personal,None,Official,RepKarenBass
Errol Webber,Republican,California,37,Campaign,None,Personal,None,Official,None
Linda T. Sánchez,Democratic,California,38,Campaign,LindaTSanchez,Personal,None,Official,RepLindaSanchez
Michael Tolar,Democratic,California,38,Campaign,MichaelTolar6,Personal,None,Official,None
Young Kim,Republican,California,39,Campaign,None,Personal,None,Official,RepYoungKim
Gil Cisneros,Democratic,California,39,Campaign,GilCisnerosCA,Personal,None,Official,RepGilCisneros
Lucille Roybal-Allard,Democratic,California,40,Campaign,None,Personal,None,Official,RepRoybalAllard
Antonio Delgado,Republican,California,40,Campaign,cAntonioDelgado,Personal,None,Official,None
Mark Takano,Democratic,California,41,Campaign,MarkTakano,Personal,None,Official,RepMarkTakano
Aja Smith,Republican,California,41,Campaign,AjaforCongress,Personal,None,Official,None
Ken Calvert,Republican,California,42,Campaign,TeamCalvert,Personal,None,Official,KenCalvert
Liam O'Mara,Democratic,California,42,Missing,Missing,Missing,Missing,Missing,Missing
Maxine Waters,Democratic,California,43,Campaign,None,Personal,None,Official,RepMaxineWaters
Joe Collins,Republican,California,43,Campaign,joeecollins3,Personal,None,Official,None
Nanette Barragán,Democratic,California,44,Campaign,Nanette4CA,Personal,None,Official,RepBarragan
Analilia Joya,Democratic,California,44,Campaign,None,Personal,None,Official,None
Katie Porter,Democratic,California,45,Campaign,None,Personal,None,Official,RepKatiePorter
Greg Raths,Republican,California,45,Campaign,None,Personal,GregRaths,Official,None
Lou Correa,Democratic,California,46,Campaign,None,Personal,None,Official,RepLouCorrea
James Waters,Republican,California,46,Campaign,watersfor,Personal,None,Official,None
Alan Lowenthal,Democratic,California,47,Campaign,alanlowenthal,Personal,None,Official,RepLowenthal
John Briscoe,Republican,California,47,Campaign,johnfbriscoe,Personal,johnfbriscoe,Official,None
Michelle Steel,Republican,California,48,Campaign,None,Personal,None,Official,RepSteel
Harley Rouda,Democratic,California,48,Campaign,HarleyRouda,Personal,None,Official,RepHarley
Mike Levin,Democratic,California,49,Campaign,MikeLevin,Personal,None,Official,RepMikeLevin
Brian Maryott,Republican,California,49,Campaign,brianlmaryott,Personal,None,Official,None
Darrell Issa,Republican,California,50,Campaign,TeamIssa,Personal,DarrellIssa,Official,repdarrellissa
Ammar Campa-Najjar,Democratic,California,50,Campaign,ACampaNajjar,Personal,None,Official,None
Juan Vargas,Democratic,California,51,Campaign,None,Personal,None,Official,RepJuanVargas
Juan Hidalgo,Republican,California,51,Campaign,HidalgoCongress,Personal,None,Official,None
Scott Peters,Democratic,California,52,Campaign,ScottPetersSD,Personal,None,Official,RepScottPeters
Jim DeBello,Republican,California,52,Campaign,DeBelloCongress,Personal,None,Official,None
Sara Jacobs,Democratic,California,53,Campaign,SaraJacobsCA,Personal,None,Official,RepSaraJacobs
Georgette Gómez,Democratic,California,53,Campaign,GomezForAD80,Personal,None,Official,None
Diana DeGette,Democratic,Colorado,1,Campaign,DeGette5280,Personal,None,Official,RepDianaDeGette
Shane Bolling,Republican,Colorado,1,Campaign,Shane4Co,Personal,BollingShane,Official,None
Jan Kok,Approval Voting,Colorado,1,Campaign,None,Personal,None,Official,None
Paul N. Fiorino,Unity,Colorado,1,Missing,Missing,Missing,Missing,Missing,Missing
Kyle Furey,Libertarian,Colorado,1,Campaign,None,Personal,kylefurey,Official,None
Joe Neguse,Democratic,Colorado,2,Campaign,JoeNeguse,Personal,None,Official,RepJoeNeguse
Charlie Winn,Republican,Colorado,2,Missing,Missing,Missing,Missing,Missing,Missing
Thom Atkinson,Libertarian,Colorado,2,Campaign,None,Personal,None,Official,None
Gary Swing,Unity,Colorado,2,Campaign,None,Personal,swinggary,Official,None
Lauren Boebert,Republican,Colorado,3,Campaign,None,Personal,None,Official,RepBoebert
Diane Mitsch Bush,Democratic,Colorado,3,Campaign,RepDMB,Personal,None,Official,None
John Ryan Keil,Libertarian,Colorado,3,Missing,Missing,Missing,Missing,Missing,Missing
Critter Milton,Unity,Colorado,3,Campaign,CritterMilton,Personal,None,Official,None
Ken Buck,Republican,Colorado,4,Campaign,BuckForColorado,Personal,None,Official,RepKenBuck
Ike McCorkle,Democratic,Colorado,4,Missing,Missing,Missing,Missing,Missing,Missing
Bruce Griffith,Libertarian,Colorado,4,Campaign,None,Personal,None,Official,None
Laura Ireland,Unity,Colorado,4,Campaign,None,Personal,None,Official,None
Doug Lamborn,Republican,Colorado,5,Campaign,None,Personal,None,Official,RepDLamborn
Jillian Freeland,Democratic,Colorado,5,Campaign,FreelandCO5,Personal,None,Official,None
Ed Duffett,Libertarian,Colorado,5,Campaign,None,Personal,eduffett,Official,None
Marcus Murphy,Independent,Colorado,5,Campaign,None,Personal,None,Official,None
Rebecca Keltie,Unity,Colorado,5,Campaign,Keltie4Congress,Personal,None,Official,None
Jason Crow,Democratic,Colorado,6,Campaign,None,Personal,None,Official,repjasoncrow
Steve House,Republican,Colorado,6,Campaign,House4CO,Personal,None,Official,None
Norm Olsen,Libertarian,Colorado,6,Campaign,None,Personal,None,Official,None
Jaimie Kulikowski,Unity,Colorado,6,Campaign,JaimieKulikows1,Personal,None,Official,None
Ed Perlmutter,Democratic,Colorado,7,Campaign,Ed4Colorado,Personal,None,Official,repperlmutter
Casper Stockham,Republican,Colorado,7,Campaign,Casper4Colorado,Personal,None,Official,None
Ken Biles,Libertarian,Colorado,7,Campaign,Ken4Colorado,Personal,None,Official,None
David Olszta,Unity,Colorado,7,Campaign,None,Personal,None,Official,None
John B. Larson,Democratic,Connecticut,1,Campaign,None,Personal,None,Official,RepJohnLarson
Mary Fay,Republican,Connecticut,1,Campaign,maryfayct,Personal,None,Official,None
Thomas McCormick,Green,Connecticut,1,Missing,Missing,Missing,Missing,Missing,Missing
Joe Courtney,Democratic,Connecticut,2,Campaign,joecourtneyct,Personal,None,Official,repjoecourtney
Justin Anderson,Republican,Connecticut,2,Campaign,None,Personal,None,Official,None
Cassandra Martineau,Green,Connecticut,2,Campaign,CassCongress,Personal,None,Official,None
Daniel Reale,Libertarian,Connecticut,2,Campaign,None,Personal,None,Official,None
Rosa DeLauro,Democratic,Connecticut,3,Campaign,Rosa_DeLauro,Personal,None,Official,rosadelauro
Margaret Streicker,Republican,Connecticut,3,Campaign,ForStreicker,Personal,None,Official,None
Justin Paglino,Green,Connecticut,3,Campaign,justin4all2,Personal,None,Official,None
Jim Himes,Democratic,Connecticut,4,Campaign,jahimes,Personal,None,Official,None
Jonathan Riddle,Republican,Connecticut,4,Campaign,riddlecongress,Personal,None,Official,None
Brian Merlen,Independent,Connecticut,4,Campaign,None,Personal,None,Official,None
Jahana Hayes,Democratic,Connecticut,5,Campaign,JahanaHayesCT,Personal,JahanaHayes,Official,RepJahanaHayes
David Sullivan,Republican,Connecticut,5,Campaign,None,Personal,None,Official,None
Bruce Walczak,Independent,Connecticut,5,Campaign,None,Personal,None,Official,None
Lisa Blunt Rochester,Democratic,Delaware,1,Campaign,LisaBRochester,Personal,None,Official,RepLBR
Lee Murphy,Republican,Delaware,1,Campaign,goMurph2020,Personal,None,Official,None
Catherine Purcell,Independent,Delaware,1,Campaign,Catheri45538542,Personal,None,Official,None
David Rogers,Libertarian,Delaware,1,Campaign,None,Personal,None,Official,None
Matt Gaetz,Republican,Florida,1,Campaign,mattgaetz,Personal,None,Official,RepMattGaetz
Phil Ehr,Democratic,Florida,1,Campaign,PhilEhr,Personal,None,Official,None
Albert Oram,Independent,Florida,1,Campaign,RealMaverickUSA,Personal,None,Official,None
Neal Dunn,Republican,Florida,2,Campaign,DunnCampaign,Personal,None,Official,DrNealDunnFL2
Kim O'Connor,write-in,Florida,2,Campaign,None,Personal,None,Official,None
Kat Cammack,Republican,Florida,3,Campaign,None,Personal,KatCammack,Official,RepKatCammack
Adam Christensen,Democratic,Florida,3,Campaign,AC4Congress2020,Personal,None,Official,None
John Rutherford,Republican,Florida,4,Campaign,JRutherfordFL,Personal,None,Official,RepRutherfordFL
Donna Deegan,Democratic,Florida,4,Campaign,DonnaDeegan,Personal,None,Official,None
Al Lawson,Democratic,Florida,5,Campaign,AlLawsonJR,Personal,None,Official,RepAlLawsonJr
Gary Adler,Republican,Florida,5,Campaign,ElectAdler,Personal,None,Official,None
Michael Waltz,Republican,Florida,6,Campaign,michaelgwaltz,Personal,None,Official,None
Clint Curtis,Democratic,Florida,6,Campaign,Clint4congress,Personal,LawClintCurtis,Official,None
Stephanie Murphy,Democratic,Florida,7,Campaign,SMurphyCongress,Personal,None,Official,RepStephMurphy
Leo Valentín,Republican,Florida,7,Missing,Missing,Missing,Missing,Missing,Missing
William Garlington,Independent,Florida,7,Campaign,billgarlington,Personal,None,Official,None
Bill Posey,Republican,Florida,8,Campaign,PoseyCampaign,Personal,None,Official,congbillposey
Jim Kennedy,Democratic,Florida,8,Campaign,JK4Florida,Personal,None,Official,None
Darren Soto,Democratic,Florida,9,Campaign,DarrenSoto,Personal,None,Official,RepDarrenSoto
Bill Olson,Republican,Florida,9,Campaign,None,Personal,None,Official,None
Val Demings,Democratic,Florida,10,Campaign,valdemings,Personal,None,Official,RepValDemings
Vennia Francois,Republican,Florida,10,Campaign,Vennia4Congress,Personal,None,Official,None
Daniel Webster,Republican,Florida,11,Campaign,WebsterCongress,Personal,None,Official,RepWebster
Dana Cottrell,Democratic,Florida,11,Campaign,DanaforCongress,Personal,None,Official,None
Gus Bilirakis,Republican,Florida,12,Campaign,None,Personal,None,Official,RepGusBilirakis
Kimberly Walker,Democratic,Florida,12,Campaign,kw4congress,Personal,None,Official,None
Charlie Crist,Democratic,Florida,13,Campaign,CharlieCrist,Personal,None,Official,RepCharlieCrist
Anna Paulina Luna,Republican,Florida,13,Campaign,VoteAPL,Personal,realannapaulina,Official,None
Kathy Castor,Democratic,Florida,14,Campaign,KathyCastorFL,Personal,None,Official,USRepKCastor
Christine Quinn,Republican,Florida,14,Campaign,None,Personal,None,Official,None
Scott Franklin,Republican,Florida,15,Campaign,ScottFranklinFL,Personal,None,Official,RepFranklin
Alan Cohn,Democratic,Florida,15,Campaign,AlanMCohn,Personal,None,Official,None
Vern Buchanan,Republican,Florida,16,Campaign,None,Personal,None,Official,VernBuchanan
Margaret Good,Democratic,Florida,16,Campaign,GoodforFlorida,Personal,None,Official,None
Greg Steube,Republican,Florida,17,Campaign,None,Personal,None,Official,RepGregSteube
Allen Ellison,Democratic,Florida,17,Campaign,AllenLEllison,Personal,None,Official,None
Theodore Murray,Independent,Florida,17,Campaign,None,Personal,None,Official,None
Brian Mast,Republican,Florida,18,Campaign,BrianMastFL,Personal,None,Official,RepBrianMast
Pam Keith,Democratic,Florida,18,Campaign,PamKeithFL,Personal,None,Official,None
K. W. Miller,Independent,Florida,18,Missing,Missing,Missing,Missing,Missing,Missing
Byron Donalds,Republican,Florida,19,Campaign,ByronDonalds,Personal,None,Official,RepDonaldsPress
Cindy Banyai,Democratic,Florida,19,Campaign,Cindy_Banyai_FL,Personal,None,Official,None
Alcee Hastings,Democratic,Florida,20,Campaign,None,Personal,None,Official,None
Greg Musselwhite,Republican,Florida,20,Campaign,GregMusselwhit3,Personal,None,Official,None
Lois Frankel,Democratic,Florida,21,Campaign,LoisFrankel,Personal,None,Official,RepLoisFrankel
Laura Loomer,Republican,Florida,21,Campaign,None,Personal,None,Official,None
Charleston Malkemus,Independent,Florida,21,Campaign,votecharleston,Personal,None,Official,None
Ted Deutch,Democratic,Florida,22,Campaign,TedDeutch,Personal,None,Official,RepTedDeutch
Jim Pruden,Republican,Florida,22,Missing,Missing,Missing,Missing,Missing,Missing
Debbie Wasserman Schultz,Democratic,Florida,23,Campaign,DWStweets,Personal,None,Official,RepDWStweets
Carla Spalding,Republican,Florida,23,Campaign,None,Personal,None,Official,None
Frederica Wilson,Democratic,Florida,24,Campaign,FSWInTheHouse,Personal,None,Official,RepWilson
Lavern Spicer,Republican,Florida,24,Campaign,lavern_spicer,Personal,None,Official,None
Christine Olivo,Independent,Florida,24,Missing,Missing,Missing,Missing,Missing,Missing
Mario Díaz-Balart,Republican,Florida,25,Missing,Missing,Missing,Missing,Missing,Missing
Carlos A. Giménez,Republican,Florida,26,Missing,Missing,Missing,Missing,Missing,Missing
Debbie Mucarsel-Powell,Democratic,Florida,26,Campaign,DebbieforFL,Personal,None,Official,RepDMP
Maria Elvira Salazar,Republican,Florida,27,Campaign,MaElviraSalazar,Personal,None,Official,RepMariaSalazar
Donna Shalala,Democratic,Florida,27,Campaign,DonnaShalala,Personal,None,Official,RepShalala
Buddy Carter,Republican,Georgia,1,Campaign,None,Personal,None,Official,repBuddyCarter
Joyce Griggs,Democratic,Georgia,1,Campaign,JoyceGriggs2022,Personal,None,Official,None
Sanford Bishop,Democratic,Georgia,2,Campaign,None,Personal,None,Official,SanfordBishop
Don Cole,Republican,Georgia,2,Missing,Missing,Missing,Missing,Missing,Missing
Drew Ferguson,Republican,Georgia,3,Campaign,None,Personal,None,Official,RepDrewFerguson
Val Almonord,Democratic,Georgia,3,Campaign,valforcongress3,Personal,None,Official,None
Hank Johnson,Democratic,Georgia,4,Campaign,None,Personal,None,Official,RepHankJohnson
Johsie Cruz,Republican,Georgia,4,Campaign,JohsieC,Personal,None,Official,None
Nikema Williams,Democratic,Georgia,5,Campaign,None,Personal,None,Official,RepNikema
Angela Stanton-King,Republican,Georgia,5,Campaign,theangiestanton,Personal,None,Official,None
Lucy McBath,Democratic,Georgia,6,Campaign,lucymcbath,Personal,None,Official,RepLucyMcBath
Karen Handel,Republican,Georgia,6,Campaign,karenhandel,Personal,None,Official,None
Carolyn Bourdeaux,Democratic,Georgia,7,Campaign,Carolyn4GA7,Personal,None,Official,RepBourdeaux
Rich McCormick,Republican,Georgia,7,Campaign,RichforGA,Personal,None,Official,None
Austin Scott,Republican,Georgia,8,Campaign,None,Personal,None,Official,AustinScottGA08
Lindsay Holliday,Democratic,Georgia,8,Campaign,None,Personal,None,Official,None
Andrew Clyde,Republican,Georgia,9,Campaign,None,Personal,None,Official,Rep_Clyde
