id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323302291257118722,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,11/02/2020 16:33:46,"It’s not over yet, we have more work to do and we need your help.  Please signup to make calls:

https://t.co/a74Mkax166",120,6,1,0,12,False,0,False,False,null,,null,0,null,0
1323276779969253377,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,11/02/2020 14:52:24,1 Day!  #Vote,13,8,2,1,28,False,0,False,False,null,,null,0,Vote,1
1323027454534057985,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,11/01/2020 22:21:40,2 Days!  Together we will win! https://t.co/o96oNaQHiB,54,2,2,0,10,False,0,False,False,null,,null,0,null,0
1322516861293121536,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/31/2020 12:32:45,3 Days! #Vote,13,5,2,0,42,False,0,False,False,null,,null,0,Vote,1
1322217592426242049,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/30/2020 16:43:34,"4 Days!!

Join us tomorrow, Saturday, Oct. 31 from 1 - 2 p.m. for a virtual GOTV Costume Rally supporting Democrats right here in Wilmington. We will have appearances by down-ballot candidates and a DJ. Hope to see you then! 

RSVP: https://t.co/HR4jnggjTI https://t.co/JnrQHSaK0l",280,2,0,0,4,True,1,False,False,null,,null,0,null,0
1321235300916600835,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/27/2020 23:40:17,"Proud to take part in a @TeamJoe roundtable in Philadelphia to talk about the importance of lifting up Black voices in this country.  

One week! https://t.co/TjOykEO4It",169,6,0,1,19,True,1,False,False,null,,TeamJoe,1,null,0
1321192220100333570,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/27/2020 20:49:06,One Week! https://t.co/3RfSa9Fba5,33,6,0,1,35,True,1,False,False,null,,null,0,null,0
1319998212237938689,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/24/2020 13:44:32,10 days!  Let’s get to work!,28,4,1,0,13,False,0,False,False,null,,null,0,null,0
1319726312706232321,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/23/2020 19:44:06,🚨🚨ALERT: We finally found the Trump Administration’s plan to fight the virus and keep Americans safe 🚨🚨 https://t.co/PIAK8FsEB4,127,3,1,1,11,False,0,False,False,null,,null,0,null,0
1319657518151421954,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/23/2020 15:10:45,Empathy is on the ballot. Compassion is on the ballot. Character is on the ballot. https://t.co/ID6CWBRqM9,106,5,3,1,19,False,0,False,False,null,,null,0,null,0
1319457523624235009,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/23/2020 01:56:02,. @JoeBiden will not play games with people’s lives. https://t.co/ECT3NwrzQg,76,2,2,1,9,False,0,False,False,null,,JoeBiden,1,null,0
1319454760509071361,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/23/2020 01:45:03,He cares about the people! https://t.co/sNHC0UFZuC,50,4,2,0,13,False,0,False,False,null,,null,0,null,0
1319447120836022274,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/23/2020 01:14:42,"When our country is facing a major crisis, we need to have a president who not only has a plan, but takes responsibility for what happens -- good and bad. The buck stops right at the Resolute Desk, whether the President likes it or not. #Debates2020",249,6,0,0,21,False,0,False,False,null,,null,0,Debates2020,1
1319446713204080641,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/23/2020 01:13:05,#Facts https://t.co/GHVznXwA8X,30,1,0,0,5,False,0,False,False,null,,null,0,Facts,1
1319046719452086272,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/21/2020 22:43:39,13 Days! https://t.co/izgcJpGJOu,32,2,3,1,16,False,0,False,False,null,,null,0,null,0
1318934538651918337,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/21/2020 15:17:53,"More than 220,000 Americans have died from this virus and more than 7 million have been infected—we know it didn’t have to be this bad. We need leaders who will listen to experts and have a plan that is guided by science to get this virus under control. https://t.co/YwDlJJ20Nx",277,4,1,0,10,False,0,False,False,null,,null,0,null,0
1318582326901805056,"Blunt Rochester, Lisa",True,True,D,DELAWARE 0,LisaBRochester,10/20/2020 15:58:19,"Happy Birthday @KamalaHarris! In two weeks we have the chance to call her Madam Vice President. Her undying spirit and courage has inspired us all. 

Wish her a Happy Birthday by making a plan to vote!!  14 Days!!#MadamVicePresident #2WeeksAway

Visit https://t.co/uVhU1cusG7",275,5,1,0,11,False,0,False,False,null,,KamalaHarris,1,"MadamVicePresident,2WeeksAway",2
