id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1322665263817510912,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/31/2020 22:22:27,Drop off your completed ballot to an official Board of Elections Drop Box today! #VoteByNovember3rd #MfumeforCongress #ReElectMfume #VoteForTheHomeTeam https://t.co/W5SS3rq3Dj,175,11,10,3,35,True,1,False,False,null,,null,0,"VoteByNovember3rd,MfumeforCongress,ReElectMfume,VoteForTheHomeTeam",4
1321989209700315143,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/30/2020 01:36:03,#MfumeforCongress #ReElectMfume #VoteByNovember3rd #BaltimoreCounty #HowardCounty #BaltimoreCity https://t.co/oCfuGWpDpq,120,19,18,1,49,True,1,False,False,null,,null,0,"MfumeforCongress,ReElectMfume,VoteByNovember3rd,BaltimoreCounty,HowardCounty,BaltimoreCity",6
1320724529358974976,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/26/2020 13:50:40,"It's time to vote early! Here are the Early Voting Centers for Baltimore City, Baltimore County, and Howard County. #MfumeforCongress #ReElectMfume #VoteByNovember3rd #BaltimoreCity #BaltimoreCounty #HowardCounty https://t.co/kI7awNnaKm",236,14,17,1,46,True,3,False,False,null,,null,0,"MfumeforCongress,ReElectMfume,VoteByNovember3rd,BaltimoreCity,BaltimoreCounty,HowardCounty",6
1320376049612587008,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/25/2020 14:45:56,"I am honored to receive the endorsement of the nation's longest-running African American family-owned newspaper, The Afro American Newspaper. THANK YOU! #MfumeforCongress #ReElectMfume #VoteByNovember3rd 

https://t.co/p68AxS6MWZ",229,6,7,0,37,False,0,False,False,null,,null,0,"MfumeforCongress,ReElectMfume,VoteByNovember3rd",3
1319658839667593217,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/23/2020 15:16:00,"The COVID-19 pandemic has had a negative impact on many marriages, relationships, and families. Join us tonight at 7pm on Facebook Live to discuss both the challenges and strategies for success. #family #faith #relationships #COVID19 https://t.co/8Bgtfe9TJo",257,3,12,3,24,True,1,False,False,null,,null,0,"family,faith,relationships,COVID19",4
1319294797228761088,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/22/2020 15:09:25,"Only a few more days until early voting begins! #MfumeforCongress #ReElectMfume 
#VoteByNovember3rd #HowardCounty #BaltimoreCounty #BaltimoreCity https://t.co/UhqP4sFDBZ",169,14,23,3,55,False,0,False,True,null,,null,0,"MfumeforCongress,ReElectMfume,VoteByNovember3rd,HowardCounty,BaltimoreCounty,BaltimoreCity",6
1318385718041939968,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/20/2020 02:57:04,"Rep. Kweisi Mfume again asks 7th District to send him to Capitol Hill 

#MfumeforCongress #ReelectMfume #VoteByNovember3rd #VoteForTheHomeTeam 

https://t.co/Ugj0nd7q9W",168,7,18,0,37,False,0,False,False,null,,null,0,"MfumeforCongress,ReelectMfume,VoteByNovember3rd,VoteForTheHomeTeam",4
1317272189201252352,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/17/2020 01:12:18,"Just one year ago, the U.S. House of Representatives lost a champion, and I lost my dear friend of 42 years. I know you're still dancing with the angels. #RIP #friendship #champion #ElijahCummings https://t.co/ZOxG3a31DG",220,17,5,6,89,True,1,False,False,null,,null,0,"RIP,friendship,champion,ElijahCummings",4
1317184125116317699,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/16/2020 19:22:22,"https://t.co/yXOJ46ywtF

#votemfumeforcongress #voteforthehometeam #wearenotforsale",83,6,13,4,12,False,0,False,False,Mfume4Congress,1317184123828666368,null,0,"votemfumeforcongress,voteforthehometeam,wearenotforsale",3
1317184123828666368,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/16/2020 19:22:21,"This Congressional seat belongs to the people of Baltimore City, Baltimore County, and Howard County. Donald Trump and Kim Klacik cannot buy it. They should take their money and greed somewhere else, because we are not for sale. Not now, not ever.",247,25,27,4,130,False,0,False,False,null,,null,0,null,0
1316025430973927425,"Mfume, Kweisi",True,True,D,MARYLAND 7,Mfume4Congress,10/13/2020 14:38:07,"Controversial relics of the dark past belong in museums not in post offices. 

https://t.co/xfxXuMOAqT",102,4,27,3,18,False,0,False,False,null,,null,0,null,0
