id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323386970702290947,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/02/2020 22:10:15,Tomorrow is Election Day and today we are continuing to travel across the district! Thanks to everyone who came to our GOTV rally in Hutchinson today! Onward to victory tomorrow! #mn07 https://t.co/VsFpBG8nWa,208,2,4,0,22,True,1,False,False,null,,null,0,mn07,1
1323317451715739653,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/02/2020 17:34:01,"I have been humbled by the more than 22,000 grassroots donors who have given to our campaign to send a conservative to Congress from #mn07. But I think this donation from my 7 year old granddaughter Miss Ava is my favorite one of all! https://t.co/nVYNe73s6g",258,8,0,1,50,True,2,False,False,null,,null,0,mn07,1
1323310542581309440,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/02/2020 17:06:33,Sabato Crystal Ball has moved #mn07 to Lean R!! We will retire Collin Peterson and give a voice back to the people of Minnesota’s 7th District! https://t.co/T4JqMdJ4KH,167,10,1,2,40,False,0,False,False,null,,null,0,mn07,1
1323300401748316160,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/02/2020 16:26:16,We are now in the final two days to cast your ballot. I am asking for your vote to be your fresh voice in Congress. Please make a plan to vote: learn how at https://t.co/5nfxrV2c1M #mn07 https://t.co/RxRLqj5WyT,210,5,0,1,29,False,0,False,True,null,,null,0,mn07,1
1322967639082283012,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/01/2020 18:23:59,Thank you to everyone across western Minnesota working to help us flip #mn07! #LeadRight https://t.co/jN47sdqpbu,112,9,4,1,49,False,0,False,False,null,,null,0,"mn07,LeadRight",2
1322966065853464576,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/01/2020 18:17:44,"Make your plan to vote by Tuesday, go to https://t.co/5nfxrV2c1M for details. #mn07 https://t.co/zJir0o6sx5",107,8,1,0,18,False,0,False,False,null,,null,0,mn07,1
1322922168481701891,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,11/01/2020 15:23:18,"The @gop team in action yesterday! Glad to join Sen. @kevincramer, @jkcarnah and @realMikeLindell in support of President @realDonaldTrump and @LewisForMN in #mn07  https://t.co/zbfz5v1tnB",188,7,2,1,23,False,0,False,False,null,,"GOP,kevincramer,jkcarnah,realMikeLindell,realDonaldTrump,LewisForMN",6,mn07,1
1322646377042743296,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,10/31/2020 21:07:24,Fantastic MAGA Meetup in Fergus Falls today with @jkcarnah and Rep. Bud Nornes. Thank you for your dedicated service Rep Nornes! #mn07 https://t.co/DRGLrjNGQs,158,3,3,2,17,True,1,False,False,null,,jkcarnah,1,mn07,1
1322627726042419203,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,10/31/2020 19:53:17,"Today, I was honored to join @realMikeLindell to accept the @MCCL_org endorsement on behalf of President @realdonaldtrump. #mn07 #prolife https://t.co/UOQ3us9XoZ",161,10,1,1,30,True,1,False,False,null,,"realMikeLindell,MCCL_org,realDonaldTrump",3,"mn07,prolife",2
1322592371079602180,"Fischbach, Michelle",True,False,R,MINNESOTA 7,FischbachMN7,10/31/2020 17:32:48,"Great stop in Moorhead with Senator @kevincramer, @mngop Chair @jkcarnah. @TrumpVictoryMN  is working hard &amp; we will elect Trump, @LewisforMN and Republicans up and down the ballot in just a few days! #mn07 https://t.co/JJ2tgULZmE",234,8,1,1,23,True,1,False,False,null,,"kevincramer,mngop,jkcarnah,LewisForMN",4,mn07,1
