id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323392993727041542,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/02/2020 22:34:11,REMINDER: Nevadans can now sign up for health insurance plans and change existing plans for 2021 through @NVHealthLink. Head to https://t.co/ecEqTIok0G to learn more. https://t.co/4PVlFZ1jsn,190,2,1,0,4,False,0,False,False,null,,NVHealthLink,1,null,0
1323370070542897155,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/02/2020 21:03:06,#DiaDeMuertos es una oportunidad para celebrar y valorar las vidas de nuestros seres queridos quienes ya no están con nosotros. Les deseo a todos quienes lo celebran un bello día de recuerdos y paz.,198,1,0,0,5,False,0,False,False,RepSusieLee,1323370068907073536,null,0,DiaDeMuertos,1
1323370068907073536,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/02/2020 21:03:06,#DayOfTheDead is a chance to celebrate and treasure the lives of our loved ones who are no longer with us. Wishing everyone celebrating a beautiful day of remembrance and peace.,177,1,3,1,10,False,0,False,False,null,,null,0,DayOfTheDead,1
1323354950336917504,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/02/2020 20:03:01,"Attention Nevadans! If you are voting in person tomorrow, make sure you are doing so safely while following guidelines to protect yourself and others during the #COVID19 pandemic. 

Read up on @CDCgov safety guidelines here:
https://t.co/NNerNebwZO https://t.co/nfVVv0oDBF",272,2,7,0,4,True,1,False,False,null,,CDCgov,1,COVID19,1
1323030546755235842,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/01/2020 22:33:57,"Another month has gone by without Congress and the White House passing more #COVID19 relief.

Hundreds of thousands of Nevadans are out of work and facing eviction.

Yet negotiations have stalled because of political games. We need to pass more relief.",252,3,14,1,26,False,0,False,False,null,,null,0,COVID19,1
1322984017109700608,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/01/2020 19:29:04,"Still need to get a flu shot? Until 1:00pm PT today, stop by the @ACDCNV Drive-up Food Distribution and Flu Clinic in Chinatown Plaza! 

We’re having a great time! https://t.co/PJ8yFtux0R",187,2,6,2,13,True,3,False,False,null,,ACDCNV,1,null,0
1322968825432838145,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,11/01/2020 18:28:42,"Pandemic or no pandemic, I will always fight for southern Nevada’s Asian American and Pacific Islander communities and stick up for my constituents when bigotry seeps into their lives.

Read my op-ed in @AsianJournalCom. 👇
https://t.co/Cuy3WmIMxU",246,3,9,0,23,False,0,False,False,null,,AsianJournalCom,1,null,0
1322639373062557700,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/31/2020 20:39:34,"Happy Halloween! 🎃 

If you and your family are celebrating publicly this year, please follow @CDCgov #COVID19 holiday safety guidelines. Make sure to look out for your family and neighbors!
https://t.co/CWjTsaPwzj",214,3,6,1,4,False,0,False,False,null,,CDCgov,1,COVID19,1
1322605473414189059,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/31/2020 18:24:52,Will never tire of our amazing state. Happy Nevada Day! https://t.co/xhUqowOPCX,79,5,14,3,119,True,1,False,False,null,,null,0,null,0
1322555598123261953,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/31/2020 15:06:41,"HAPPY HALLOWEEN
HAPPY HALLOWEE
HAPPY HALLOWE
HAPPY HALLOW
HAPPY HALLO
HAPPY HALL
HAPPY HAL
HAPPY HA
HAPPY H
HAPPY
HAPPY N
HAPPY NE
HAPPY NEV
HAPPY NEVA
HAPPY NEVAD
HAPPY NEVADA
HAPPY NEVADA D
HAPPY NEVADA DA
HAPPY NEVADA DAY",224,72,21,9,460,False,0,False,False,null,,null,0,null,0
1322311533192499201,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/30/2020 22:56:51,TODAY is the last day to send me your information to be considered for a military service academy nomination through my office.👇👇 https://t.co/WCXsAJKweM,153,1,2,0,8,False,0,False,False,null,,null,0,null,0
1322300810190086146,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/30/2020 22:14:14,"Happy (observed) #NevadaDay! 

It’s the greatest honor of my life to represent Nevada in Congress, and to work to make our state the greatest place to live. #HomeMeansNevada",173,2,15,0,39,False,0,False,False,null,,null,0,"NevadaDay,HomeMeansNevada",2
1322281871301115904,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/30/2020 20:58:59,"Running out of words to describe Mitch McConnell’s indifference towards the suffering of millions of Americans. 

We should’ve passed more #COVID19 relief months ago. Every day we wait tightens the strain on Amercians’ health and livelihoods. https://t.co/58ucI0wMdv",266,16,22,1,57,False,0,False,False,null,,null,0,COVID19,1
1322261818962829313,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/30/2020 19:39:18,"TODAY is the last day to vote early in Nevada! Remember, in @ClarkCountyNV, you can early vote at ANY polling location. Find polling locations here:
https://t.co/f0UbcUhJp0",172,9,15,1,24,False,0,False,False,null,,ClarkCountyNV,1,null,0
1322254968242507778,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/30/2020 19:12:05,"Remember, the best way to stop the spread of #COVID19 is to wash your hands and wear a mask, not perpetuate racist stereotypes.

Read my op-ed in @AsianJournalCom about supporting southern Nevada’s #AAPI community during this pandemic. 
https://t.co/c58HUH56jX",260,3,5,0,16,False,0,False,False,null,,AsianJournalCom,1,"COVID19,AAPI",2
1321993001422458886,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/30/2020 01:51:07,"Remember, moms know best. 

VOTE! #MomsInTheHouse
https://t.co/48esSgLEnf",73,10,14,2,30,False,0,False,True,null,,null,0,MomsInTheHouse,1
1321926029875830784,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/29/2020 21:25:00,"If you are voting in person this election season, make sure you are doing so safely while following guidelines to protect yourself and others during the #COVID19 pandemic. Read up on @CDCgov safety guidelines here: https://t.co/tuw8FXCvih",238,3,9,1,14,False,0,False,False,null,,CDCgov,1,COVID19,1
1321912187963744257,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/29/2020 20:30:00,"TOMORROW is the last day to vote early in Nevada! Remember, in @ClarkCountyNV, you can early vote at ANY polling location. Figure out which polling location is most convenient for you👇
https://t.co/f0UbcUhJp0",208,4,2,1,13,False,0,False,False,null,,ClarkCountyNV,1,null,0
1321904640292757507,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/29/2020 20:00:00,"On #LatinaEqualPayDay, let’s remember that Latinas face the largest wage gap than women of any racial background. We can’t let this continue and must work hard to close this gap. https://t.co/rzw7S5n2hl",202,2,2,2,7,False,0,False,False,null,,null,0,LatinaEqualPayDay,1
1321892557132103680,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/29/2020 19:11:59,"This is good news for Nevadans at risk of facing eviction. 

Bottom line though, Americans whose livelihoods have been crushed by this pandemic should not be facing eviction. We need to pass #COVID19 relief that includes more rental and housing assistance. https://t.co/qewDaAQYc5",280,3,10,2,21,False,0,False,False,null,,null,0,COVID19,1
1321633259109916672,"Lee, Susie",True,True,D,NEVADA 3,RepSusieLee,10/29/2020 02:01:38,".@Safenest Project Safe 417, a domestic violence program in Las Vegas, has expanded to 24/7 coverage. Especially during this pandemic when we’re seeing an uptick of domestic violence reports, resources like Project Safe 417 are crucial. Learn more👇 
https://t.co/3kRCuSXXJ4",273,4,4,2,17,False,0,False,False,null,,SafeNest,1,null,0
