id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1321882524780580864,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/29/2020 18:32:07,"Thank you to all the first responders and those who are working hard to keep our lights on during this crazy weather. We always come together to help our neighbors through the tough times, it’s the Oklahoma Standard. https://t.co/axTMAGj836",240,5,15,4,28,False,0,False,True,null,,null,0,null,0
1321534702528811014,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/28/2020 19:30:00,"As a small business owner, I understand firsthand the challenges small businesses face &amp; the important role they play in our communities. I will always stand up for small businesses &amp; the thousands of people they employ. I am honored to receive @NFIB’s #SmallBizGuardian award. https://t.co/IVcD5ENYxR",309,2,4,1,5,True,1,False,False,null,,NFIB,1,SmallBizGuardian,1
1321481494423101442,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/28/2020 15:58:34,"Officer Jerad Lindsey was not only a good friend, he was also a true leader who cared deeply for his fellow @TulsaPolice officers and the community they served. Christie and I are praying for his family and the TPD community during this difficult time.",252,2,6,3,15,False,0,False,False,null,,TulsaPolice,1,null,0
1321083988602212353,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/27/2020 13:39:02,The socialist Left’s energy policies would destroy millions of jobs and increase energy costs for hard-working families. The all-of-the-above energy strategy we have been utilizing has led to a cleaner environment along with the strongest economy our nation has ever seen. https://t.co/l3bm4AKQXF,296,49,49,27,149,True,1,False,False,null,,null,0,null,0
1320880463725080578,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/27/2020 00:10:17,Congratulations to Judge Barrett on her confirmation to the United States Supreme Court.,88,4,7,2,33,False,0,False,False,RepMullin,1320880462919880707,null,0,null,0
1320880462919880707,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/27/2020 00:10:17,"Judge Barrett is exceptionally well-qualified and a great choice by President Trump to serve on the highest court in the land. She is dedicated to upholding the Constitution as written, not legislating from the bench, and protecting our fundamental rights.",256,35,30,10,337,False,0,False,False,null,,null,0,null,0
1320802256686637057,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/26/2020 18:59:31,"On #NationalDayOfTheDeployed, we honor all our men and women in uniform who are and have been deployed while serving our country. We thank you and your loved ones for your service and sacrifice. https://t.co/5pVCIkbXYN",218,1,0,1,9,True,1,False,False,null,,null,0,NationalDayOfTheDeployed,1
1320394688801632257,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/25/2020 16:00:00,"Everyone deserves to live their own American Dream. Our commitment to America will renew that dream for all Americans by ensuring every child can attend an excellent school, honoring our veterans’ service, and supporting our citizens’ success. https://t.co/6YhU38OfGA",267,38,91,7,198,True,1,False,False,null,,null,0,null,0
1319987007435714560,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/24/2020 13:00:01,"By getting America back to work, ending our dependence on China, and modernizing our infrastructure, we will rebuild the greatest economy in history. Republicans did it once and we will do it again. https://t.co/QnWGfOWeqZ",222,116,122,21,701,True,1,False,False,null,,null,0,null,0
1319734704338337798,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/23/2020 20:17:27,"Burns Hargis is a true public servant who has made a positive impact for thousands in the #CowboyFamily over the last 13 years. Thank you, @burnshargis and @OSUFirstCowgirl, for all you have done not only for @okstate but for our entire state. I wish you the best in retirement. https://t.co/PRX8Xyv86i",302,2,0,0,12,True,1,False,False,null,,"burnshargis,okstate",2,CowboyFamily,1
1319712710045671426,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/23/2020 18:50:03,"President Trump has done it again! This is the third peace deal President Trump has brokered between Arab nations and Israel. I look forward to seeing more in the future. 

https://t.co/1yDvL1WmiL",196,2,8,1,16,False,0,False,False,null,,null,0,null,0
1319676136453013507,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/23/2020 16:24:43,"Republicans are fighting for our country. Our commitment to America will restore our way of life through defeating COVID-19, keeping communities safe, and preserving our constitutional freedoms. https://t.co/OxRsYGxRNo",218,14,42,9,80,True,1,False,False,null,,null,0,null,0
1319084550807486467,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/22/2020 01:13:58,The silent crisis of missing and murdered indigenous women is wreaking havoc on our families and communities. President Trump is the first president to formally recognize the crisis and take action to combat it. https://t.co/6nD3AmnWot,235,2,9,0,9,False,0,False,False,null,,null,0,null,0
1317148302144638978,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/16/2020 17:00:01,"The socialist agenda of defunding, destroying, and dismantling leaves too many Americans behind and that is unacceptable. We need real solutions to move our country forward and that’s exactly what the Republican Commitment to America is. https://t.co/RCtGMOkgkV",261,32,83,5,110,True,1,False,False,null,,null,0,null,0
1316755712891002881,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/15/2020 15:00:00,"Want to stay up to date on what I am working on in the district and Washington, DC? Subscribe to my newsletter here ➡️ https://t.co/3hllPkyyAe",142,1,5,0,1,False,0,False,False,null,,null,0,null,0
1316472789948338176,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/14/2020 20:15:46,"As a Member of Congress, I have the honor of nominating students to our country’s prestigious service academies. This year’s application deadline is Friday, November 13, 2020. Visit my website for more information on the process ➡️ https://t.co/JpGhVSefMh https://t.co/oHgqzLOH26",279,2,3,0,4,True,1,False,False,null,,null,0,null,0
1316098153528078336,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/13/2020 19:27:06,Happy 245th Birthday to the U.S. Navy! Thank you to all the brave sailors for your service and sacrifice. https://t.co/2fwjwmZUhI,129,2,1,0,6,True,1,False,False,null,,null,0,null,0
1314550919133102086,"Mullin, Markwayne",True,True,R,OKLAHOMA 2,RepMullin,10/09/2020 12:58:56,Great news! My son Jim has been discharged from the Centre for Neuro Skills and we are heading home! https://t.co/K6fx6TB0jl,124,53,59,17,883,False,0,False,True,null,,null,0,null,0
