id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323255205476126722,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,11/02/2020 13:26:40,One day left! Let’s bring this home and elect @JoeBiden and @KamalaHarris! #vote,80,107,31,6,738,False,0,False,False,null,,"JoeBiden,KamalaHarris",2,vote,1
1322932270429331458,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,11/01/2020 16:03:26,This is not a “point.” It is a lie. The Trump team is going to try and steal this election. It is critical that the media be prepared to put their lies in context. https://t.co/pb7pOtA2fJ,187,121,37,10,536,False,0,False,False,null,,null,0,null,0
1322672500669583361,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/31/2020 22:51:12,Proud to be in Rhode Island’s Comeback City tonight to unveil the newly redeveloped Central Falls Landing! https://t.co/Jh4nF5Nyfd,130,10,17,2,223,True,1,False,False,null,,null,0,null,0
1322661014706495488,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/31/2020 22:05:34,Have a happy and safe #Halloween2020 https://t.co/f0aIREu2xF,60,11,6,0,75,True,1,False,False,null,,null,0,Halloween2020,1
1322605439905923077,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/31/2020 18:24:44,"Get out and vote for @JoeBiden, @KamalaHarris, and RBG and Shirley, and Lady Liberty! 
https://t.co/rqJmINnYfE",110,12,15,3,96,False,0,False,False,null,,"JoeBiden,KamalaHarris",2,null,0
1322549683995160576,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/31/2020 14:43:11,"James Bond.

Dr. Henry Jones, Sr.

Malone. Ramius. Richard the Lionheart.

A talented actor who embodied so many iconic roles. 

Rest In Peace. https://t.co/ePurRMJu29",167,11,6,0,127,False,0,False,False,null,,null,0,null,0
1321885827920760836,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/29/2020 18:45:15,"If you haven’t read it, Vanity Fair’s cover story on @AOC is well worth your time. 

All of us in public service can learn a lot from what the Congresswoman has done to get young people engaged over the last two years. https://t.co/Q2hf8KWWJN",242,396,70,47,3568,False,0,False,False,null,,AOC,1,null,0
1321878566594879488,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/29/2020 18:16:24,Grateful that the working men and women of @ri_trades are endorsing my campaign for re-election this year! https://t.co/F7Dnaa8oxA,130,9,3,0,36,False,0,False,False,null,,ri_trades,1,null,0
1321877185712574465,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/29/2020 18:10:55,"Did you know it takes nearly 2 years for Latinas to earn as much as a white man does in only 1 for the same job? The House passed the Paycheck Fairness Act in 2019 to close the loopholes that allows this inequality, but Mitch won’t allow a vote. #LatinaEqualPayDay",264,48,13,3,144,False,0,False,False,null,,null,0,LatinaEqualPayDay,1
1321830182651596800,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/29/2020 15:04:08,"This has been the most corrupt administration in history. 
https://t.co/kcVytEl9q2",82,191,59,33,581,False,0,False,False,null,,null,0,null,0
1321547427623686148,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/28/2020 20:20:34,"Today is #NationalFirstRespondersDay - I’m grateful for the sacrifices they make every day. For the heroes on the frontline fighting COVID-19 or risking their lives running into burning buildings, I’m fighting every day to make sure these heroes get the hazard pay they deserve!",278,15,12,1,113,False,0,False,False,null,,null,0,NationalFirstRespondersDay,1
1321493403662753793,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/28/2020 16:45:54,"With @JoeBiden in the White House, our government is going to work for working people. 

I'm so proud to have the support of Rhode Island's labor unions -- @SEIU1199_NE, @NEARhodeIsland, @UFCWLocal328, and @riaflcio -- in my campaign for re-election. https://t.co/a6NPHXIwNP",274,11,25,1,100,False,0,False,False,null,,"JoeBiden,SEIU1199_NE,NEARhodeIsland,UFCWLocal328,riaflcio",5,null,0
1321456060297871360,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/28/2020 14:17:30,"NEW POLL: 74 percent of all Americans now say Amazon, Apple, Facebook, and Google are monopolies that limit competition and innovation. https://t.co/XmlD0o688C",159,112,38,29,479,False,0,False,False,null,,null,0,null,0
1321186692896870402,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/27/2020 20:27:08,"The White House just put out a list of “First Term Accomplishments.” 

Among them is “Ending the COVID-19 Pandemic.”

In the real world, 226,000 Americans died. 50,000 are in the hospital. We’ve had half a million new cases this week! We can’t let this president get a 2nd term.",278,322,71,77,1059,False,0,False,False,null,,null,0,null,0
1321126225641906176,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/27/2020 16:26:52,"Grateful that @ActiveRetirees and @NCPSSM have endorsed my campaign for re-election. After all the damage that President Trump has done, we are going to need to work together to restore the promise of Social Security and Medicare for seniors. https://t.co/lKreOxT2Wq",266,13,11,0,47,False,0,False,False,null,,"ActiveRetirees,NCPSSM",2,null,0
1321117117417181184,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/27/2020 15:50:40,"Another sign of Rhode Island leading our country forward... we are taking a big step towards generating all our energy from clean, renewable sources.

https://t.co/jzDaqbfNE0",174,27,13,0,188,False,0,False,False,null,,null,0,null,0
1321044313195847680,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/27/2020 11:01:22,Good morning. There is one week to go until we elect @JoeBiden. Keep fighting. #VOTE,84,86,27,5,630,False,0,False,False,null,,JoeBiden,1,VOTE,1
1320895693339414528,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/27/2020 01:10:49,"If tonight’s confirmation means anything, it means we have to defeat Donald Trump, flip the Senate, expand our control in the House, and then make the Republican Party a permanent minority party in this country.",211,172,66,31,1104,False,0,False,False,null,,null,0,null,0
1320852355223605250,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:36,The American people deserve better.,35,16,11,0,145,False,0,False,False,davidcicilline,1320852354481197058,null,0,null,0
1320852354481197058,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:36,"By confirming Judge Barrett tonight, Republicans are making clear that they stand with the President in this shameful scheme to rip away health care from millions in the middle of a once-in-a-century pandemic.",209,22,5,1,135,False,0,False,False,davidcicilline,1320852353843646466,null,0,null,0
1320852353843646466,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:36,The Supreme Court will hear oral arguments in that case in just 15 days.,72,2,1,0,18,False,0,False,False,davidcicilline,1320852353101299712,null,0,null,0
1320852353101299712,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:35,"In fact, he’s in court right now trying to strike the law down and take away protections from millions of Americans with pre-existing conditions.",145,3,2,0,22,False,0,False,False,davidcicilline,1320852352333684737,null,0,null,0
1320852352333684737,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:35,"President Trump has made clear that he wants the Supreme Court to strike down the Affordable Care Act, even though he has no plan to replace it.",144,4,2,1,25,False,0,False,False,davidcicilline,1320852351469707264,null,0,null,0
1320852351469707264,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:35,"....a nominee who threatens the progress our country has made over the years to expand access to health care, protect the LGBTQ+ community from discrimination, address the threat of climate change, and guarantee that women can make their own health care decisions.",264,6,1,0,30,False,0,False,False,davidcicilline,1320852350718926851,null,0,null,0
1320852350718926851,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 22:18:35,"(Thread) The American people should have a say in who gets a lifetime appointment to the Supreme Court. Instead, just eight days before a presidential election, Republicans will vote today to confirm Judge Amy Coney Barrett...",226,44,28,3,228,False,0,False,False,null,,null,0,null,0
1320751815118520320,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/26/2020 15:39:05,"Grateful to have the support of @cleanwater_ri in my campaign for re-election, and to continue our work together to protect our environment and take on the challenge of climate change. https://t.co/VqVvfBfo6a",208,14,4,1,61,False,0,False,False,null,,cleanwater_ri,1,null,0
1320464873655013388,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/25/2020 20:38:53,"One year ago today, long before COVID-19 appeared, @JoeBiden warned us that President Trump wasn’t prepared for a pandemic. 

But Donald Trump didn’t listen. 

A President’s bad judgment does have consequences. https://t.co/jZXxmOJehw",234,83,29,1,326,False,0,False,False,null,,JoeBiden,1,null,0
1320459493482893312,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/25/2020 20:17:30,"My former colleague @MarkMeadows said on CNN this morning that we’re “not going to control the pandemic.”

This kind of defeatist attitude has no place in the White House. We need to elect @joebiden.",199,170,30,14,1017,False,0,False,False,null,,"MarkMeadows,JoeBiden",2,null,0
1320098267372359682,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/24/2020 20:22:07,Good afternoon. We have 10 days left to defeat Donald Trump. Here is how you can help. https://t.co/NKmyWWNfT5,110,28,25,1,108,False,0,False,False,null,,null,0,null,0
1320043632150384640,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/24/2020 16:45:01,Today is #voteearlyday! I already voted - have you? Go to https://t.co/EK3fnvCalJ to make a plan.,97,13,11,1,73,False,0,False,False,null,,null,0,voteearlyday,1
1319998254038343682,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/24/2020 13:44:42,NEW: The President's COVID plan. https://t.co/pSc1D3Uzoi,56,91,35,25,342,False,0,False,False,null,,null,0,null,0
1319458923368321027,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/23/2020 02:01:36,Huh. What is Donald Trump hiding in his taxes?,46,55,56,9,390,False,0,False,False,null,,null,0,null,0
1319386192769634304,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/22/2020 21:12:36,"Great choice, @GuyFieri! But don’t sleep on the calamari! https://t.co/7WJZteGFS7",81,10,11,3,129,False,0,False,False,null,,GuyFieri,1,null,0
1319333571694297089,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/22/2020 17:43:30,This is what the election is about. Protecting👏🏼Our👏🏼Healthcare👏🏼 https://t.co/1oKXI9J2zF,89,64,37,9,345,False,0,False,False,null,,null,0,null,0
1319272814516621312,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/22/2020 13:42:04,Seems like just yesterday that @kwelkernbc was covering the news for @ABC6 in Providence. Wishing her luck as she prepares to moderate the final debate of the 2020 campaign. https://t.co/2a3xumckaA,197,24,21,4,371,True,1,False,False,null,,"kwelkernbc,ABC6",2,null,0
1319036562722705415,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/21/2020 22:03:17,Nice to see an old friend again https://t.co/jaj6essP74,55,84,39,16,1164,True,1,False,False,null,,null,0,null,0
1319023509981614083,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/21/2020 21:11:25,"The Sackler family perpetrated a massive fraud on the American people. The opioid crisis is one of the worst public health crises we have ever known.

They need to be held accountable in a criminal trial. I am disappointed that DOJ is letting them off the hook. https://t.co/9m4bmRfiN3",285,83,26,11,306,False,0,False,False,null,,null,0,null,0
1318923069604364290,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/21/2020 14:32:18,Proud to join @PlanUSA to talk about the important work we need to do to help women and girls around the world overcome oppression and gender inequality. https://t.co/GfuwnW0vKd,177,11,5,3,28,False,0,False,False,null,,PlanUSA,1,null,0
1318721704659734530,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/21/2020 01:12:09,"I mean, OF COURSE, it turns out that Donald Trump has a secret Chinese bank account that wasn’t listed on any of his financial disclosure forms.

Republicans aided and abetted his corruption every step of the way. We should never again entrust them with running our government.",277,2796,241,214,8380,False,0,False,False,null,,null,0,null,0
1318721231428923392,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/21/2020 01:10:16,The American people are hurting. I’m grateful that @speakerpelosi is leading the fight to pass another COVID-19 relief package. Mitch McConnell needs to get out of the way. https://t.co/asZGFLKdRh,196,260,101,31,794,False,0,False,False,null,,SpeakerPelosi,1,null,0
1318715497186209792,"Cicilline, David",True,True,D,RHODE ISLAND 1,davidcicilline,10/21/2020 00:47:29,"545 innocent kids are still without their parents because of President Trump’s immigration policies.

This is a stain on the soul of our country. It is going to take a long time to repair the damage he has done. https://t.co/n7YPsZN8n4",235,138,49,13,301,False,0,False,False,null,,null,0,null,0
