id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323387316082233344,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,11/02/2020 22:11:38,.@realdonaldtrump said that he will fire Dr. Fauci as soon as he can. Ignoring experts isn’t a strategy – it’s a dereliction of duty. I’ve introduced legislation to make sure that Fauci and other experts are protected. #vtpoli https://t.co/EEa46Y2kKb,250,13,3,4,66,False,0,False,False,null,,realDonaldTrump,1,vtpoli,1
1321821131121266688,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/29/2020 14:28:10,I saw first-hand the consequences of Trump &amp; @DHSGov’s family separation policy at the border. The devastation caused by their policy continues today as scores of children remain separated and may never be reunited with their parents.,238,26,3,2,77,False,0,False,False,null,,DHSgov,1,null,0
1321542864942280708,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/28/2020 20:02:26,"Thank you to ANEW Place and everyone who made this possible. With winter fast approaching, projects like this that provide Vermonters with an accessible and safe place to live while residents search for a permanent home are so important. #vtpoli https://t.co/du0Qtjvgop",269,3,0,0,13,False,0,False,False,null,,null,0,vtpoli,1
1321517026305781760,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/28/2020 18:19:46,Today I joined volunteers from @AgeWellVT to deliver meals to seniors in Franklin County. The work that these amazing volunteers do providing meals and companionship for seniors is more important than ever during this pandemic. Thank you! https://t.co/HcWsOE0QS0,262,4,1,2,34,True,1,False,False,null,,AgeWellVT,1,null,0
1321464998812680192,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/28/2020 14:53:02,"I kicked off my morning @dfamilk St. Albans, where they are upgrading their processing facility to make sure that Vermont farmers can efficiently sell their delicious dairy products in Vermont and across the nation. Thanks for the great work you do! https://t.co/APUgME8uMf",273,6,0,1,23,True,1,False,False,null,,dfamilk,1,null,0
1318992114399793152,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/21/2020 19:06:40,The calculated cruelty of the Trump administration’s family separation policy continues. The administration’s actions are shameful and inhumane.  https://t.co/Efrc7rNFmQ,169,20,8,1,70,False,0,False,False,null,,null,0,null,0
1318601736769183747,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/20/2020 17:15:27,I trust Dr. Fauci and other experts. That’s why I introduced legislation in May that would prevent heads of the National Institute of Health from being removed for political reasons.  https://t.co/7f43axbCfd,207,8,2,1,35,False,0,False,False,null,,null,0,null,0
1316882574946467840,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/15/2020 23:24:07,"Although I won’t be a special guest performing with the likes of Dave Matthews or Brittany Howard, I’m proud to have been a lead player in getting this much needed legislation passed in the House.",196,3,2,0,16,False,0,False,False,PeterWelch,1316882573709185028,null,0,null,0
1316882573709185028,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/15/2020 23:24:06,I hope you can join us for the #SaveOurStages festival this weekend. Independent venues make our communities special but need federal help NOW to get through these challenging times. https://t.co/eULLNCPuGa,206,7,7,0,13,False,0,False,False,null,,null,0,SaveOurStages,1
1316479382739968008,"Welch, Peter",True,True,D,VERMONT 0,PeterWelch,10/14/2020 20:41:58,"This is well deserved recognition for our nurses here in Vermont! Thank you to nurses everywhere for all that you do, especially during this pandemic. https://t.co/4xwScQk6xJ",174,2,3,0,10,False,0,False,False,null,,null,0,null,0
