id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323017973863428106,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,11/01/2020 21:44:00,"Sounds just like Karl Marx. 

A century of history has shown where that path leads. 

We all embrace equal opportunity, but government-enforced equality of outcomes is Marxism. https://t.co/76GRFhl34X",200,160,115,39,542,False,0,False,False,null,,null,0,null,0
1321090198944534529,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/27/2020 14:03:42,"Go @MikeforWI! 
This is what leadership looks like 🇺🇸 https://t.co/oJfml7IvY1",77,17,9,1,95,False,0,False,False,null,,MikeforWI,1,null,0
1320906530103984136,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/27/2020 01:53:52,Justice Barrett 🇺🇸 https://t.co/bHyOvSI3z3,42,33,42,2,452,False,0,False,False,null,,null,0,null,0
1320774005977219073,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/26/2020 17:07:16,"“The President is elected for four years not three years, so the power he has in year three continues into year four.”
-Justice Ruth Bader Ginsburg https://t.co/y2GFDbxenp",171,52,80,8,352,False,0,False,False,null,,null,0,null,0
1319745160993910784,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/23/2020 20:59:00,Getting mine today! #ComeAndTakeIt https://t.co/0yICmV7ZM3,58,18,25,4,100,False,0,False,False,null,,null,0,ComeAndTakeIt,1
1319490678687068161,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/23/2020 04:07:47,Hi -we should chat. You seem confused. Wyoming is the best! https://t.co/8ak8ctNR21,83,11,27,4,156,False,0,False,False,null,,null,0,null,0
1319490083876028418,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/23/2020 04:05:25,They own it now. https://t.co/9mBdChKBJ2,40,10,19,2,93,False,0,False,False,null,,null,0,null,0
1319480418165379073,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/23/2020 03:27:01,"Every Democrat incumbent &amp; candidate in House races across the country must answer whether they agree with @JoeBiden that we should “end the oil industry.” This is ludicrous policy that would devastate communities, eliminate millions of jobs &amp; drive our economy into a depression.",288,856,979,220,3602,False,0,False,False,null,,JoeBiden,1,null,0
1319061303101542400,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/21/2020 23:41:36,"Esther Joy King will be a fighter for Illinois-17. Donate Today! 

Esther for Congress - Principles that matter. Policies that work. https://t.co/S6DfsbUGXN",156,4,9,0,26,False,0,False,False,null,,null,0,null,0
1318928247199985664,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/21/2020 14:52:53,"100 years ago Jackson, WY elected one of the world’s first all-women town councils. 

I’m proud and honored to represent Wyoming - our great Equality State. 
#ThatsWy #TheWorldNeedsMoreCowgirls https://t.co/AlLdbNx4f4",217,11,10,4,95,True,1,False,False,null,,null,0,"ThatsWy,TheWorldNeedsMoreCowgirls",2
1318889809390178304,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/21/2020 12:20:09,"Sometimes during a campaign people say what they actually mean.

This is what radical Democrats will do if they are given the chance.  
#socialism #lunacy https://t.co/pj0gmSkN2F",178,47,49,4,172,False,0,False,False,null,,null,0,"socialism,lunacy",2
1318881291253608448,"Cheney, Liz",True,True,R,WYOMING 0,Liz_Cheney,10/21/2020 11:46:18,"Great read about ⁦@alekskarlatos⁩ and his campaign to flip Oregon’s 4th congressional district. 

The Trailer: Is this the future of the GOP? https://t.co/Q9mecQGqEm",165,24,10,1,103,False,0,False,False,null,,alekskarlatos,1,null,0
