id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323399488405295106,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/02/2020 23:00:00,I’m just going to leave this here. #FactCheck https://t.co/ekn9LtPHRB,69,62,5,8,182,False,0,False,True,null,,null,0,FactCheck,1
1323369289295028225,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/02/2020 21:00:00,"It’s up to every single one of us to curb the spread of #COVID19. As we exercise our right to #vote tomorrow, wear a mask, keep a safe distance &amp; wash your hands.

https://t.co/oQjH17qN4t",191,14,3,0,73,False,0,False,False,null,,null,0,"COVID19,vote",2
1323359694128209920,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/02/2020 20:21:52,@NormaJTorres @sharicedavids It’s an honor to work with you on getting our #MMIW bills across the finish line.,110,0,0,0,4,False,0,False,False,NormaJTorres,1323359442923065345,"NormaJTorres,sharicedavids",2,MMIW,1
1323339092826988546,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/02/2020 19:00:00,"Native Americans have had to sacrifice a lot to get the right to vote, our culture principally among them.
As I’ve said before, voting is sacred. Don’t forget to exercise your hard fought right tomorrow.
#NativeAmericanHeritageMonth
 
https://t.co/feUPW2PrzU",258,56,5,3,208,False,0,False,False,null,,null,0,NativeAmericanHeritageMonth,1
1323308629055868928,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/02/2020 16:58:57,"Applications for Internships in my District Office in Albuquerque office are due Nov. 30. Apply today!
https://t.co/hG2e3cF19t",126,18,1,1,40,False,0,False,False,null,,null,0,null,0
1323085150662520832,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/02/2020 02:10:56,"During this Native American heritage month, we need to reflect systemic racism and on the failures of the federal government to uphold its trust responsibility to Native Nations.
#NativeAmericanHeritageMonth 
https://t.co/xxZyZyhVEW",232,77,5,8,251,False,0,False,False,null,,null,0,NativeAmericanHeritageMonth,1
1323010166195826688,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/01/2020 21:12:58,".@novapbs explains why the current climate crisis will take serious action to address. #ActOnClimate 

https://t.co/iqdqykGIfn",126,10,0,0,30,False,0,False,False,null,,novapbs,1,ActOnClimate,1
1322980473115561984,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/01/2020 19:14:59,"Tonight is Dia de Muertos, a time to remember &amp; celebrate friends &amp; family who have passed. How are you &amp; yours celebrating Dia de Muertos? https://t.co/daRaolHJyk",175,53,11,4,257,True,1,False,False,null,,null,0,null,0
1322946292700475392,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/01/2020 16:59:09,"Starting today, you can apply for health care coverage through the marketplace!
 
Find out if you qualify for free or reduced-cost healthcare. #healthcare #GetCovered https://t.co/f0v7VD9ztH",190,13,0,0,33,False,0,False,False,null,,null,0,"healthcare,GetCovered",2
1322717959073116160,"Haaland, Debra",True,True,D,NEW MEXICO 1,RepDebHaaland,11/01/2020 01:51:51,"I couldn’t agree with @RepJasonCrow more. Voting is sacred &amp; we can’t take that right for granted. 

Make your voice heard. #Vote https://t.co/LJphfQ2iz1",157,11,1,2,55,False,0,False,False,null,,RepJasonCrow,1,Vote,1
