id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323092888163557376,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,11/02/2020 02:41:41,This fantastic mural was created by good friend of mine @ChadCaya and @OldWoodenDoor. Fun fact. I have a painting of an oil well on an old wooden door painted by @OldWoodenDoor hanging in my office in D.C.  Great work guys. https://t.co/40DpYCTmUf,247,2,3,3,26,False,0,False,False,null,,"ChadCaya,OldWoodenDoor,OldWoodenDoor",3,null,0
1321109637157081094,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/27/2020 15:20:57,"The angriest person in the United States right now is probably Hillary Clinton, saying she wished the email dump in 2016 would’ve been covered the same way the Hunter Biden story is. https://t.co/sfhxvBppSb",206,56,47,8,162,False,0,False,True,null,,null,0,null,0
1320903520988659720,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/27/2020 01:41:55,"Congratulations to an exceptionally qualified jurist, now-Justice Amy Coney Barrett! The ninth and final seat on the Court is in good hands. https://t.co/lw5JViAy1t",164,78,104,15,500,False,0,False,False,null,,null,0,null,0
1319750982801199104,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 21:22:08,@hunter_pinke @SenJohnHoeven Devastating. A ban on fracking would stop all new oil and gas development in the state. We produce about 1.2 mil. barrels a day right now. Accounts for 60%+ of our state budget. That number would go down every year significantly w/put new production.,279,3,5,1,30,False,0,False,False,hunter_pinke,1319714220481613824,"hunter_pinke,SenJohnHoeven",2,null,0
1319655409586741248,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 15:02:22,"60-70% of North Dakota’s budget comes from oil revenue, so what do you suggest for replacing that, @JoeBiden? Revenue which keeps schools open and social services running.

I guess appeasing the far Left comes before communities’ livelihoods. https://t.co/KKoqbmaaIC",266,122,46,29,296,False,0,False,False,null,,JoeBiden,1,null,0
1319475158827094020,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 03:06:07,@McFeely_Inforum So “they said it but they don’t really mean it” is the defense.,80,0,6,1,13,False,0,False,False,McFeely_Inforum,1319473079068884992,McFeely_Inforum,1,null,0
1319471203493367808,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 02:50:24,"@McFeely_Inforum https://t.co/RgCnzDNpS0 None actually. I could explain the difference between existing production vs. future production, but that isn’t the issue. My concern is that 60-70% of ND’s budget comes from oil revenue. Diversion, schools, property tax relief. This is a big deal for ND.",296,1,6,2,10,False,0,False,False,McFeely_Inforum,1319466800397115400,McFeely_Inforum,1,null,0
1319466109351854080,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 02:30:09,Joe Biden and Kamala Harris want to BAN fracking and kill American jobs https://t.co/OKo6naZS6R via @YouTube,108,15,16,6,82,False,0,False,False,null,,YouTube,1,null,0
1319465337486651393,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 02:27:05,@SAbramowitz9021 @realDonaldTrump @JoeBiden I always wanted a tougher name like Alice or a Boy Named Sue.,105,1,3,0,22,False,0,False,False,SAbramowitz9021,1319463669193793536,"SAbramowitz9021,realDonaldTrump,JoeBiden",3,null,0
1319464972766724096,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 02:25:38,@baseballbalker @realDonaldTrump @JoeBiden And bulletproof,58,0,0,0,6,False,0,False,False,baseballbalker,1319464179141611528,"baseballbalker,realDonaldTrump,JoeBiden",3,null,0
1319464568674942976,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 02:24:02,Correction “1994 Crime Bill”,28,12,1,0,45,False,0,False,False,RepArmstrongND,1319463344990871553,null,0,null,0
1319464074556604419,"Armstrong, Kelly",True,True,R,NORTH DAKOTA 0,RepArmstrongND,10/23/2020 02:22:04,@JoeBiden we are pretty Republican in North Dakota and we are proud of the success of our Drug Courts.,102,0,1,0,0,False,0,False,False,null,,JoeBiden,1,null,0
