id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323403305402421249,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,11/02/2020 23:15:10,"Trump's 1776 Commission is designed to have students bury the past, not learn from and understand it. I recently joined Chairman @BobbyScott in objecting to the Trump admin's dangerous pursuit of racist programs and policies.
 
https://t.co/SSKoP1Qxem",251,1,4,0,11,False,0,False,False,null,,BobbyScott,1,null,0
1323351999346331650,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,11/02/2020 19:51:17,"Tomorrow is Election Day! There’s still time to make your voice heard – in Oregon ballots can be dropped off until 8 p.m. Vote as early as possible, and make sure you’re in line by 8 p.m. PT on Tuesday at the latest. Find the box closest to you here:
https://t.co/C6kZrMB7Tb",274,8,4,0,20,False,0,False,False,null,,null,0,null,0
1322239519404531713,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/30/2020 18:10:42,The House passed an updated Heroes Act to respond to this health crisis; the Senate must vote on it now.,104,1,1,0,11,False,0,False,False,RepBonamici,1322239402542858240,null,0,null,0
1322239402542858240,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/30/2020 18:10:14,"These numbers are alarming. We are months into this pandemic, and the Trump admin has still failed to advance a national plan that keeps our families and communities safe. 

https://t.co/kryvUNngKS",197,3,2,1,13,False,0,False,False,null,,null,0,null,0
1322211643120603136,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/30/2020 16:19:55,"Saudi Arabia has detained women’s rights activist Loujain AlHathloul for years, and now they are denying her regular communication with her family. It’s entirely unacceptable and cruel. She is now on a hunger strike, &amp; I continue to advocate to #FreeLoujain. #LoujainHungerStrike",283,21,6,4,69,False,0,False,False,null,,null,0,"FreeLoujain,LoujainHungerStrike",2
1321933563156140033,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/29/2020 21:54:56,"Building an economic recovery that works for everyone starts w/ workforce development. In Congress, I’m focused on creating more registered apprenticeships, pre-apprenticeships &amp; opportunities for workers to re-skill &amp; making sure women &amp; people of color can access opportunities. https://t.co/fRhJyeQvac",316,2,2,1,15,True,1,False,False,null,,null,0,null,0
1321929005038272512,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/29/2020 21:36:49,"Solar energy is renewable, local, and proven, and jobs in #solarenergy pay well. I appreciated hearing from solar companies in NW Oregon with @OSEIA_Solar about how to grow this important part of the #CleanEnergy economy.",221,4,2,0,23,False,0,False,False,null,,null,0,"solarenergy,CleanEnergy",2
1321901445826957315,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/29/2020 19:47:19,"The attempts by Trump &amp; Sec. DeVos to block discussion about systemic racism &amp; race theory are extremely dangerous. I joined Chairman @BobbyScott in calling for answers about @usedgov’s recent moves to undermine free speech, which risk exacerbating existing structures of racism. https://t.co/Ddhx0Bowin",311,3,1,1,22,True,3,False,False,null,,"BobbyScott,usedgov",2,null,0
1321889472913547271,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/29/2020 18:59:44,The Senate must take up this important legislation now. Learn more here: https://t.co/HHdD7h8yF6 #PWFA #ProtectPregnantWorkers,126,2,0,0,9,False,0,False,False,RepBonamici,1321889380554997762,null,0,"PWFA,ProtectPregnantWorkers",2
1321889380554997762,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/29/2020 18:59:22,"As a mom &amp; a policy maker, I led the House in passing the Pregnant Workers Fairness Act to make sure that all pregnant workers have access to reasonable accommodations to stay safe and healthy in the workplace.",214,0,1,0,11,False,0,False,False,RepBonamici,1321889312267526145,null,0,null,0
1321889312267526145,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/29/2020 18:59:06,"42 years after the Pregnancy Discrimination Act, too many pregnant workers still face discrimination &amp; retaliation on the job.",130,3,2,0,13,False,0,False,False,null,,null,0,null,0
1321503390397063172,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/28/2020 17:25:35,"The Trump Administration's continued efforts to undermine scientific integrity and diminish climate science are outrageous. As a leader on @HouseScience, I will keep fighting to #DefendScience and protect the next National Climate Assessment.
 
https://t.co/0lStKxcAsz",268,2,1,0,9,False,0,False,False,null,,HouseScience,1,DefendScience,1
1321233225327497218,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/27/2020 23:32:02,"Funding is also available for families in @hillsboro_sd:  https://t.co/WNL1F1HATw 

Child care is essential, yet out of reach for so many families. I've been fighting for these additional resources and will continue to do so.",225,0,0,0,4,False,0,False,False,RepBonamici,1321232918740652032,hillsboro_sd,1,null,0
1321232918740652032,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/27/2020 23:30:49,🚨Funding is available for families in @BeavertonSD who need help paying for child care. Find out more about how to apply here: https://t.co/hvprz34qO0,150,2,1,0,10,False,0,False,False,null,,BeavertonSD,1,null,0
1321203260351533056,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/27/2020 21:32:58,Thank you to the Oregon leaders who spent time talking with me about their challenges and ideas for rebuilding in the days and months ahead. I'll keep fighting for more COVID relief for arts and culture organizations-- and everyone. https://t.co/z0kHyIcUXj,256,0,0,0,9,True,1,False,False,RepBonamici,1321203256681517058,null,0,null,0
1321203256681517058,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/27/2020 21:32:57,"Arts and culture connect and sustain us in difficult times, and are an important part of our economy. But right now, many arts and culture organizations are struggling – or barely surviving - because of the pandemic.",216,3,1,1,16,False,0,False,False,null,,null,0,null,0
1320885534965878784,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/27/2020 00:30:27,"I will continue doing all I can to protect and expand access to health care, reproductive rights, &amp; more.",109,1,3,0,37,False,0,False,False,RepBonamici,1320885512136249344,null,0,null,0
1320885512136249344,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/27/2020 00:30:21,"The Senate’s partisan confirmation of Amy Coney Barrett, mere days before an election, is extremely hypocritical &amp; disappointing. We will not let it stop our fight for the rights we hold dear.",196,23,9,4,146,False,0,False,False,null,,null,0,null,0
1320830540577165315,"Bonamici, Suzanne",True,True,D,OREGON 1,repbonamici,10/26/2020 20:51:55,"The Trump admin’s harmful proposal to misclassify workers would undermine equal pay protections, break time for nursing workers, &amp; access to paid leave. These hard-fought protections promote the health and economic security of millions of working women and their families. https://t.co/hTO7bxgUiH",300,19,4,2,32,True,4,False,False,null,,null,0,null,0
