id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1321865415618945026,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/29/2020 17:24:08,"It's taken Latinx women an additional 303 days for them to close the gap between their pay and the pay of white men. Imagine all the important ways they could have used that money 100, 200, or 300 days ago. #LatinaEqualPayDay https://t.co/cpppaGlGqb",249,1,0,0,9,False,0,True,False,null,,null,0,LatinaEqualPayDay,1
1321447525782560768,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/28/2020 13:43:36,"Always a proud moment to see Virgin Islanders doing it and doing it well!
Virgin Islander And Prominent U.S. Producer Releases All-Female MixTape. It Drops Today. https://t.co/Pi2S3jKTP7",186,0,1,0,2,False,0,False,False,null,,null,0,null,0
1320845715850072065,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/26/2020 21:52:13,@becomingbriana Recognizing greatness!!,39,0,0,0,9,False,0,False,False,null,,null,0,null,0
1319816381618114560,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/24/2020 01:42:01,"Congrats Briana, Virgin Islands to the world! https://t.co/5hcJXiwqod",69,10,1,1,86,False,0,False,False,null,,null,0,null,0
1319655734070706181,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/23/2020 15:03:39,"While we celebrate 48 years of safeguarding America's waters, we must not forget that we are still fighting for communities such as Flint, MI where safe, clean water is not accessible to all. #CWA48 https://t.co/JYohnGb5fY",222,5,0,1,10,True,1,False,False,null,,null,0,CWA48,1
1318916234151399425,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/21/2020 14:05:09,"@TiffanyDCross that’s what we Do!
#TrustBlackWomen 
@WilliamsAleta @TheBlackCaucus https://t.co/FGqBlSHB1h",106,9,1,1,64,False,0,False,False,null,,"TiffanyDCross,WilliamsAleta,TheBlackCaucus",3,TrustBlackWomen,1
1317817558590984197,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/18/2020 13:19:24,"They ran to family, for love, for freedom https://t.co/vImVbTSrEU",65,10,1,1,39,False,0,False,False,null,,null,0,null,0
1317133947730526210,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/16/2020 16:02:58,"Our food systems must be sustainable, support food producers, and provide all people with an affordable and healthy diet. As COVID-19 has shown us, we cannot afford to wait to adress food security in America and around the world. #WorldFoodDay https://t.co/LK1zKVtm0y",267,4,0,0,7,False,0,False,True,null,,null,0,WorldFoodDay,1
1316066717903327232,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/13/2020 17:22:11,#VIPRFriendship https://t.co/zXFSGOXYUo,39,1,3,1,11,False,0,False,False,null,,null,0,VIPRFriendship,1
1314047416358887424,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/08/2020 03:38:12,They’re coming for you #VPDebate #KamalaWonTheDebate,52,15,3,3,72,False,0,False,False,null,,null,0,"VPDebate,KamalaWonTheDebate",2
1314046833019289600,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/08/2020 03:35:53,Having black or Jewish grandchildren doesn’t automatically exempt one from being racist. Slave owners had them too #IJS #Facts #factualequivalencenot,149,134,16,6,631,False,0,False,False,null,,null,0,"IJS,Facts,factualequivalencenot",3
1314043666109956097,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/08/2020 03:23:18,"I was feeling every time I’ve been talked over, given different rules, and told what to say #Iwillnotbelectured #imspeakingnow #VPDebate2020 #KamalaWonTheDebate",160,346,39,11,1644,False,0,False,False,null,,null,0,"Iwillnotbelectured,imspeakingnow,VPDebate2020,KamalaWonTheDebate",4
1313910923451654146,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/07/2020 18:35:50,"Energy Efficiency saves money, cuts pollution and creates jobs. What’s not to like? For Energy Efficiency Day, #EEDay2020, let’s work together to cut energy waste. Join the thousands of people who have already pledged to save energy and money on Oct. 7",252,7,1,0,22,False,0,False,False,null,,null,0,EEDay2020,1
1313536900091858944,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/06/2020 17:49:35,"What is on the line if Trump succeeds in filling the Supreme Court seat with his nominee:
-Preventive care
-Pre-existing conditions protections
-Medicaid Expansion
-Women’s health care access",191,10,2,0,28,False,0,False,False,null,,null,0,null,0
1313534797168480257,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/06/2020 17:41:14,"The coronavirus crisis is a housing crisis. 
I’m proud to support @HouseDemocrats’ updated #HeroesAct to help struggling families afford a safe place to live, with tens of billions in new supports to assist renters and homeowner",228,0,2,0,13,False,0,False,False,null,,HouseDemocrats,1,HeroesAct,1
1313533279648260096,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/06/2020 17:35:12,"The effects of coronavirus on children and their education is deeply concerning. 
The updated #HeroesAct passed last week provides $225 billion for education nationwide, including $182 billion for K12 schools &amp; nearly $39 billion for postsecondary education.",262,2,0,0,17,False,0,False,False,null,,null,0,HeroesAct,1
1313524482355625985,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/06/2020 17:00:15,"The updated #HeroesAct honors our heroes, through $436 billion to state &amp; local governments who desperately needs funds to pay vital workers who keep us safe &amp; are in danger of losing their jobs",202,5,1,0,16,False,0,False,False,null,,null,0,HeroesAct,1
1313523743126368258,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/06/2020 16:57:19,The House has now passed two versions of the #HeroesAct to deliver urgently-needed relief to American families. Republicans must STOP playing politics and enact the updated Heroes Act immediately!,196,32,4,3,79,False,0,False,False,null,,null,0,HeroesAct,1
1312051325568458755,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/02/2020 15:26:27,"I will keep the President, First Lady, and every American who has been infected with this terrible virus in my thoughts and prayers. This virus is not a hoax or joke. Wear a mask, follow CDC guidelines, and stay safe.",217,8,3,0,62,False,0,False,False,null,,null,0,null,0
1311766802448474112,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/01/2020 20:35:51,"Today on the House floor, I honored the courage of my V.I. ancestors along with the queens who led them during the St. Croix Labor Rebellion of 1878. #ContractDay2020 #Fireburn 

Full video here: https://t.co/2N0hHsVbWb https://t.co/pyFlZ6A0fY",243,4,3,0,31,False,0,False,True,null,,null,0,"ContractDay2020,Fireburn",2
1311685806046818305,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,10/01/2020 15:14:00,Happy Hispanic Heritage Month to my Hispanic hermanos y hermanas. https://t.co/JXpLGNELoE,89,2,1,0,14,True,1,False,False,null,,null,0,null,0
1311351818736275457,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 17:06:51,"The House has passed over ten bills #ForThePeople to lower health care costs and protect those with pre-existing conditions, while Republicans are pushing a lawsuit through the courts to strike down the ACA",206,8,0,0,19,False,0,False,False,null,,null,0,ForThePeople,1
1311331055690043393,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 15:44:21,"The coronavirus crisis has further strained America’s already struggling child care system.
That’s why @HouseDemocrats have included $57 billion in the updated #HeroesAct to support child care for families.",206,6,1,0,15,False,0,False,False,null,,HouseDemocrats,1,HeroesAct,1
1311325840962211843,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 15:23:38,"Coronavirus has devastated small businesses. 
I’m proud to support the updated #HeroesAct to: 
🏪 Improve the Paycheck Protection Program 
💵 Provide hard-hit businesses with second loans
🍴 Deliver targeted assistance for restaurant &amp; other industries",253,0,2,0,5,False,0,False,False,null,,null,0,HeroesAct,1
1311325532051705856,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 15:22:24,"The updated #HeroesAct includes new provisions to address emergencies that have emerged in the 4 months that @SenateGOP has blocked relief, including:
🏪 Support for small businesses 
💺 Assistance for airline industry workers
🧒 More funds to bolster education &amp; child care",275,1,0,2,6,False,0,False,False,null,,SenateGOP,1,HeroesAct,1
1311318819550490624,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 14:55:44,"MARKUP ALERT: @TransportDems and @TransportGOP considered H.R 4358, the “Preliminary Damage Assessment Relief Act of 2019” to improve the process of validating FEMA assistance to State, tribal, and territorial partners.  https://t.co/s7VCkCaixe",244,1,0,0,0,False,0,False,False,null,,"TransportDems,TransportGOP",2,null,0
1311317264495529984,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 14:49:33,"MARKUP ALERT: @TransportDems and @TransportGOP considered H.R. 8266, the “FEMA Assistance Relief Act of 2020” to increase the federal share of FEMA assistance to combat emergencies and major disasters, such as wildfires and hurricanes. https://t.co/DXzquBhgBy",259,0,1,0,1,False,0,False,False,null,,"TransportDems,TransportGOP",2,null,0
1311137621326925827,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 02:55:43,He didn’t denounce white supremacy and said Proud Boys should stand back and stand by? ...,90,146,48,14,647,False,0,False,False,null,,null,0,null,0
1311129109083422721,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 02:21:53,@Fwebsterjr 😂😂 Nando Knick down the podium come fuh you,55,0,0,0,1,False,0,False,False,Fwebsterjr,1311128867558633472,Fwebsterjr,1,null,0
1311128578990444544,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 02:19:47,Trump talking about people’s children?... Damn he’s bold,56,19,11,4,179,False,0,False,False,null,,null,0,null,0
1311127327544422402,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 02:14:49,Trump doesn’t condemn white supremacist... and he’s not pressed https://t.co/6lK1GI4bpU,87,5,0,0,45,False,0,False,False,null,,null,0,null,0
1311125441365848064,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 02:07:19,That’s if the principal left the office https://t.co/ceEA3qkbNS,63,5,0,0,56,False,0,False,False,null,,null,0,null,0
1311121848915103748,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 01:53:02,That’s our job... and we will https://t.co/P7uCSVnQX7,53,46,7,1,423,False,0,False,False,null,,null,0,null,0
1311121262543015936,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 01:50:43,"Sheesh. I had to bring out the Virgin Islands product for this... rum #moderatormoderate!
#2020debate #PresidentialDebate https://t.co/bi8SHVSBAy",145,5,7,2,67,True,1,False,False,null,,null,0,"moderatormoderate,2020debate,PresidentialDebate",3
1311095237234880519,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/30/2020 00:07:18,I’m gonna have some Virgin Islands rum or Kentucky bourbon... you know #AmericaFirst and whatnot too bad Trump doesn’t drink what you got sounds like what he’d like https://t.co/cmOWXhXhkU,188,0,2,0,16,False,0,False,False,null,,null,0,AmericaFirst,1
1311004734275321856,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/29/2020 18:07:40,"600: Bills passed by House Democrats #ForThePeople
150: House bills signed into law
340: Bipartisan bills stuck on McConnell’s desk

@senatemajldr - what are you waiting for?",174,64,4,7,132,False,0,False,False,null,,null,0,ForThePeople,1
1310991325521682433,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/29/2020 17:14:23,If only @senatemajldr rushed to bring the 340 bipartisan bills passed by the House #ForThePeople to the floor of the Senate the way he's rushing to confirm a Supreme Court justice. If only...,191,6,1,0,49,False,0,False,False,null,,null,0,ForThePeople,1
1310724114446012416,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/28/2020 23:32:35,The same urgency they have for confirming a SCOTUS seat should be the concern for American lives #COVID19 #HeroesAct https://t.co/paZmX3nwkb,140,15,2,0,46,False,0,False,False,null,,null,0,"COVID19,HeroesAct",2
1310714470910619649,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/28/2020 22:54:16,@Tots58449074 @FromSlaves Mmmhmm,32,0,0,0,1,False,0,False,False,Tots58449074,1308097315975114764,"Tots58449074,FromSlaves",2,null,0
1309558280814034949,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/25/2020 18:19:59,"I’m not playing with you all, VOTE! 

Sneak peek of tomorrow’s Coffee with Stacey on Facebook. https://t.co/3141QkniAI",118,28,4,1,78,False,0,False,True,null,,null,0,null,0
1309522948055797760,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/25/2020 15:59:35,"The #CleanEconomyJobs and Innovation Act:
 
🔋 Increases #EnergyEfficiency
💡 Supports the development of renewables
🚗 Promotes electric vehicle adoption
🔌 Modernizes and builds grid resiliency
🏭 Addresses carbon pollution from existing and traditional energy sources",265,1,0,0,8,False,0,False,False,null,,null,0,"CleanEconomyJobs,EnergyEfficiency",2
1309521503868854272,"Plaskett, Stacey",True,True,D,VIRGIN ISLANDS 0,StaceyPlaskett,09/25/2020 15:53:50,The #CleanEconomyJobs and Innovation Act serves as a down-payment on climate action by promising to usher in a new era in American innovation. I am proud to have voted in support of this legislation to improve American energy.,226,4,0,0,9,False,0,False,False,null,,null,0,CleanEconomyJobs,1
