id,name,winner,incumbent,party,district,username,date,message,lengthofmessage,retweets,replies,quotes,likes,hasphoto,numofphoto,hasgif,hasvideo,ReplyingTo,ReplyToID,mentionedusers,numofmentions,hashtags,numofhashtags
1323407039784198146,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 23:30:00,"Proud to support @TwinaNobles for the State Senate because she’s in this race to fight for the health, safety, and opportunities of our communities—everyone in our communities. I know that she’ll always put people first. https://t.co/cveaR1xA0s",244,11,2,1,54,False,0,False,False,null,,TwinaNobles,1,null,0
1323387004336427009,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 22:10:23,"If you’re voting in Washington state, don’t forget to double check that your ballot was received and counted. You can track it here:
https://t.co/t4mx287pE2",156,52,10,6,164,False,0,False,False,null,,null,0,null,0
1323340602013089796,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 19:06:00,"Republicans know that their ideas aren’t popular, so they resort to trying everything to silence voters.
 
While this is a victory in TX, the GOP is working overtime to suppress the vote. When we win, we must expand voting rights and end voter suppression.
https://t.co/8MCxAZ2oau",280,21,7,0,87,False,0,False,False,null,,null,0,null,0
1323324510645399552,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 18:02:04,"Joining @washingtonpost now to discuss the election and what's at stake. Hope you'll tune in: 
https://t.co/hUAzZYFW23",118,6,4,1,15,False,0,False,False,null,,washingtonpost,1,null,0
1323322129190965248,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 17:52:36,"We only have ONE more day to get out the vote!

If you have a moment, sign up to make calls for strong progressives like @BethDoglio. It will make the difference. 
https://t.co/YXuPapHc1M",187,9,2,0,25,False,0,False,False,null,,BethDoglio,1,null,0
1323301821092372483,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 16:31:54,"Our progressive values are on the ballot — and the progress we’re fighting for isn’t possible under a Trump presidency.

Join @BernieSanders, me, and other progressive champions for a final get-out-the-vote rally at 6:15 p.m. PT/9:15 p.m. ET at https://t.co/6H4DYTld8n! https://t.co/jdUxvet8Ql",293,150,59,15,1083,False,0,False,False,null,,BernieSanders,1,null,0
1323113351912869888,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 04:03:00,"By voting, we can get rid of Trump. And by getting rid of Trump, we can also get rid of:
❌Bill Barr
❌Betsy DeVos
❌Chad Wolf
❌Steve Mnuchin
❌Mike Pompeo

Vote! If you haven't yet, make sure to get your ballot submitted ASAP, and use a drop box if possible.",255,281,45,33,1766,False,0,False,False,null,,null,0,null,0
1323075026409705472,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 01:30:42,"The Trump administration plans to limit asylum, punish sanctuary cities, expand the Muslim ban, and cut visa programs.
 
We can't afford another 4 years of an anti-immigrant agenda that has the goal of inflicting maximum cruelty and maximum harm.
 
Vote.
https://t.co/OqlJsGeyXy",278,41,13,6,200,False,0,False,False,null,,null,0,null,0
1323053274208079872,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/02/2020 00:04:16,"So great spending the afternoon talking to voters across Seattle who are fired up for change. I met two inspiring @sunrisemvmt activists who are organizing for climate justice.

If you haven't voted yet, put your ballot in a drop box ASAP. Find one here: https://t.co/Y9ZZgJ8znH https://t.co/3Mxk5M41WJ",302,17,23,7,156,True,1,False,False,null,,sunrisemvmt,1,null,0
1322958459306938384,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/01/2020 17:47:30,"If you haven't yet filled out your ballot in WA, here are my tips on who to support:
🗳@BethDoglio
🗳@TarraSimmons5
🗳@LizBerryWA
🗳@ElectKHT
🗳@Twinaforsenate
🗳@tinaorwall
🗳@JoeBiden &amp; @KamalaHarris 
🗳@JayInslee
🗳@GaelTarleton
🗳@BobFergusonAG
🗳@chrisreykdal
🗳@approve90wa",271,37,12,4,185,False,0,False,False,null,,"BethDoglio,TarraSimmons5,LizBerryWA,ElectKHT,twinaforsenate,tinaorwall,JoeBiden,KamalaHarris,JayInslee,GaelTarleton,BobFergusonAG,chrisreykdal,approve90wa",13,null,0
1322927428868648963,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/01/2020 15:44:12,"⏰ Washington, don’t forget to set your clocks back! ⏰
 
That’s 1 more hour you have to put your ballot in an official drop box! If you've already voted, use the extra hour to sign up for a GOTV shift at https://t.co/0gVZCc6v8Z
 
Find a drop box near you:
https://t.co/Y9ZZgJ8znH",278,7,2,2,41,False,0,False,False,null,,null,0,null,0
1322701940296454145,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,11/01/2020 00:48:11,"Republicans have taken their fight against vote-by-mail to the courts, suppressing the vote in Wisconsin and Minnesota.
 
In WA state, we’ve counted ballots postmarked on or before Election Day for years. Every state should be allowed to follow suit.
https://t.co/EX6lr4o0B2",274,30,3,2,134,False,0,False,False,null,,null,0,null,0
1322688250163699713,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 23:53:47,"I'm proud to support @LizBerryWA because she is the progressive champion we need in the state legislature to:
 
✅ Protect workers
✅ Expand health care coverage
✅ Rebuild our economy in a way that finally puts workers and families first https://t.co/uBeOzXl4ES",259,9,4,1,55,True,1,False,False,null,,LizBerryWA,1,null,0
1322672675098152962,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 22:51:54,"🙋🏾‍♀️I'm a proud progressive who voted for Joe Biden and Kamala Harris. NO progress is possible with Trump in the White House—let's vote him out! 
https://t.co/SZ677cSEaF",170,56,16,4,355,False,0,False,False,null,,null,0,null,0
1322647979136851970,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 21:13:46,Proud to support @ElectKHT! https://t.co/z9rjDL573M,51,4,1,0,39,False,0,False,False,null,,ElectKHT,1,null,0
1322610736334622721,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 18:45:47,"As a national security expert and a state legislator, @GaelTarleton has a proven track record of protecting our voting rights. I'm supporting her because I know she will always put people first, fight against voter suppression, and ensure free and fair elections for all of us. https://t.co/aFbyR6MspN",301,12,7,3,49,True,1,False,False,null,,GaelTarleton,1,null,0
1322574012522913793,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 16:19:51,"Trick: Get 4 more years of Trump
Treat: Vote him and his Republican cronies OUT!
 
It's all up to us. If you haven't voted in Washington yet, fill out your ballot and put it in a drop box today. There's too much on the line to wait! Find a drop box here:
https://t.co/Y9ZZgJ8znH",278,5,5,0,43,False,0,False,False,null,,null,0,null,0
1322557281750425602,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 15:13:22,"Happy Halloween! 🎃

Help us end the nightmare of the past four years by joining today’s big get-out-the-vote push. We’ll be making phone calls for strong progressives up and down the ballot and having a costume contest. Hope to see you there:
https://t.co/4ZfdWx9PIv",266,6,1,0,49,False,0,False,False,null,,null,0,null,0
1322366586569793538,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/31/2020 02:35:37,"Tomorrow’s get-out-the-vote organizing plan:
 
We’ll be making phone calls for bold progressives like @BethDoglio — plus I’ll be hosting a Q+A and we’ll have a costume contest! 🧙‍♀️ 👻 🧛‍ 🎃
 
Join us for one of our final GOTV pushes:
https://t.co/4ZfdWx9PIv",256,12,3,0,46,False,0,False,False,null,,BethDoglio,1,null,0
1322280925875634177,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/30/2020 20:55:14,"More than 82 MILLION voters have already cast their ballots in the most important election of our lifetime — join them!
 
If you’re in Washington state, the best way to vote is to put your ballot in an official drop box ASAP. Find one near you:
https://t.co/Y9ZZgJ8znH",268,10,2,0,33,False,0,False,False,null,,null,0,null,0
1322248147637309443,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/30/2020 18:44:59,"Your vote is your voice, and we can't allow workers to be silenced! I'm standing with @AMZNforClimate as they organize to get Amazon to join the long list of companies who have paid time off to vote. Workers power America &amp; must have the ability to decide the direction of it too. https://t.co/1T6Fz5J9t1",308,27,4,1,82,False,0,False,False,null,,AMZNforClimate,1,null,0
1322219193702469632,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/30/2020 16:49:56,"We have big plans too: defeating this dangerous, corrupt, racist, xenophobic, Constitution-destroying president and his administration.
 
Don't give them 4 more years to torture immigrants. Don't give them 4 more years to separate families and cage kids.
 
Vote. Them. Out. https://t.co/WOsBDVeeuf",297,23,13,0,170,False,0,False,False,null,,null,0,null,0
1321991121728405504,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/30/2020 01:43:39,🗳@LizBerryWA https://t.co/03fv7lkNOu,36,7,1,0,64,False,0,False,False,null,,LizBerryWA,1,null,0
1321969406818308105,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/30/2020 00:17:22,"If you’ve already voted and are looking for another way to support progressive candidates up and down the ballot, our next phone bank is on Saturday! Hope to see you there! Sign up to get out the vote from wherever you are:
https://t.co/w5jPPLTw0F",247,11,1,1,37,False,0,False,False,null,,null,0,null,0
1321941030195896320,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/29/2020 22:24:36,"WA state voting reminders:
🗳️Ballots are due Nov. 3 (but vote ASAP, info: https://t.co/fBI7WdMkkX)
🗳️Use a drop box if possible
🗳️You can still register to vote in person
🗳️To achieve progress, vote for people-first candidates. Here’s who I’ve endorsed:
https://t.co/YVrFcc0Rfj",277,8,1,0,34,False,0,False,False,null,,null,0,null,0
1321927062505070596,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/29/2020 21:29:06,"We must cut defense spending by at least 10% and put that money into our communities.
 
By slashing a bloated Pentagon budget, we can invest in health care, COVID-19 relief, education, transportation, child care, and other policies that lift people up.
https://t.co/pmGEApDvad",276,22,20,7,219,False,0,False,False,null,,null,0,null,0
1321899952948285441,"Jayapal, Pramila",True,True,D,WASHINGTON 7,PramilaJayapal,10/29/2020 19:41:23,"I’m proud to support @TarraSimmons5 because she's a national leader in the fight for criminal justice. Once imprisoned herself, Tarra is running not despite her criminal record but because of it. And as someone who was a registered nurse, she'll always fight for our health care. https://t.co/OTKhShRV0H",303,5,5,1,52,True,1,False,False,null,,TarraSimmons5,1,null,0
