Kimberly Klacik,Republican,Special elections,0,kimKBaltimore,Campaign
Christy Smith,politician,Special elections,0,christysmithca,Campaign
Tricia Zunker,Democratic,Special elections,0,TriciaforWI,Campaign
Nate McMurray,Democratic,Special elections,0,Nate_McMurray,Campaign
Robert Michael Franklin Jr.,Democratic,Special elections,0,Missing,Missing
James Averhart,Democratic,Alabama,1,JAverhart2020,Campaign
Phyllis Harvey-Hall,Democratic,Alabama,2,PhyllisDHHall,Campaign
Adia Winfrey,Democratic,Alabama,3,drdia,Campaign
Rick Neighbors,Democratic,Alabama,4,VoteNeighbors,Campaign
Alyse Galvin,Independent,Alaska,1,AlyseGalvin,Campaign
Tiffany Shedd,Republican,Arizona,1,Tiffany_Shedd,Campaign
Brandon Martin,Republican,Arizona,2,None,None
Daniel Wood,Republican,Arizona,3,DWood4Congress,Campaign
Delina DiSanto,Democratic,Arizona,4,delina4az,Campaign
Joan Greene,Democratic,Arizona,5,joangreeneaz,Campaign
Hiral Tipirneni,Democratic,Arizona,6,hiral4congress,Campaign
Joshua Barnett,Republican,Arizona,7,Missing,Missing
Michael Muscato,Democratic,Arizona,8,michael_muscato,Campaign
Dave Giles,Republican,Arizona,9,VoteGiles,Campaign
Joyce Elliott,Democratic,Arkansas,2,xjelliott,Campaign
Celeste Williams,Democratic,Arkansas,3,CelesteforAR,Campaign
Michael Kalagias,Libertarian,Arkansas,3,KalagiasforUS,Campaign
William Hanson,Democratic,Arkansas,4,WilliamHansonAR,Campaign
Frank Gilbert,Libertarian,Arkansas,4,None,None
Audrey Denney,Democratic,California,1,audrey4congress,Campaign
Dale Mensing,Republican,California,2,MensingDale,Personal
Tamika Hamilton,Republican,California,3,TamikaGHamilton,Campaign
Brynne Kennedy,Democratic,California,4,BrynneSpeak,Campaign
Scott Giblin,Republican,California,5,None,None
Chris Bish,Republican,California,6,BishForCongress,Campaign
Buzz Patterson,Republican,California,7,BuzzPatterson,Campaign
Christine Bubser,Democratic,California,8,Missing,Missing
Tony Amador,Republican,California,9,None,None
Ted Howze,Republican,California,10,Ted_Howze,Campaign
Nisha Sharma,Republican,California,11,UsaNisha,Campaign
Shahid Buttar,Democratic,California,12,ShahidForChange,Campaign
Nikka Piterman,Republican,California,13,NikkaGOP,Campaign
Ran Petel,Republican,California,14,petel4congress,Campaign
