James Averhart,Democratic,Alabama,1,JAverhart2020,Campaign
Phyllis Harvey-Hall,Democratic,Alabama,2,PhyllisDHHall,Campaign
Adia Winfrey,Democratic,Alabama,3,drdia,Campaign
Rick Neighbors,Democratic,Alabama,4,VoteNeighbors,Campaign
Alyse Galvin,Independent,Alaska,1,AlyseGalvin,Campaign
Oreta Tufuga Mapu Crichton,Democratic,American Samoa,1,None,None
Meleagi Suitonu-Chapman,Democratic,American Samoa,1,ladyofthereef,Personal
Tiffany Shedd,Republican,Arizona,1,Tiffany_Shedd,Campaign
Daniel Wood,Republican,Arizona,3,DWood4Congress,Campaign
Delina DiSanto,Democratic,Arizona,4,delina4az,Campaign
Joan Greene,Democratic,Arizona,5,joangreeneaz,Campaign
Hiral Tipirneni,Democratic,Arizona,6,hiral4congress,Campaign
Michael Muscato,Democratic,Arizona,8,michael_muscato,Campaign
Dave Giles,Republican,Arizona,9,VoteGiles,Campaign
Josh Barnett,Republican,Arizona,7,BarnettforAZ,Campaign
Brandon Martin,Republican,Arizona,2,None,None
Joyce Elliott,Democratic,Arkansas,2,xjelliott,Campaign
Celeste Williams,Democratic,Arkansas,3,CelesteforAR,Campaign
Michael Kalagias,Libertarian,Arkansas,3,KalagiasforUS,Campaign
William Hanson,Democratic,Arkansas,4,WilliamHansonAR,Campaign
Frank Gilbert,Libertarian,Arkansas,4,None,None
Audrey Denney,Democratic,California,1,audrey4congress,Campaign
Tamika Hamilton,Republican,California,3,TamikaGHamilton,Campaign
Brynne Kennedy,Democratic,California,4,BrynneSpeak,Campaign
Chris Bish,Republican,California,6,BishForCongress,Campaign
Buzz Patterson,Republican,California,7,BuzzPatterson,Campaign
Ted Howze,Republican,California,10,Ted_Howze,Campaign
Nisha Sharma,Republican,California,11,UsaNisha,Campaign
Shahid Buttar,Democratic,California,12,ShahidForChange,Campaign
Nikka Piterman,Republican,California,13,NikkaGOP,Campaign
Ran Petel,Republican,California,14,petel4congress,Campaign
Alison Hayden,Republican,California,15,Alison4Congress,Campaign
Kevin Cookingham,Republican,California,16,KevCookingham,Campaign
Ritesh Tandon,Republican,California,17,tandon4congress,Campaign
Rishi Kumar,Democratic,California,18,rishikumar1,Campaign
Justin Aguilera,Republican,California,19,JoinJustin19,Campaign
Jeff Gorman,Republican,California,20,JeffGormanMRY,Campaign
TJ Cox,Democratic,California,21,TJCoxCongress,Campaign
Phil Arballo,Democratic,California,22,philarballo,Campaign
Kim Mangone,Democratic,California,23,kimmangone,Campaign
Andy Caldwell,Republican,California,24,Caldwell_CA24,Campaign
Christy Smith,politician,California,25,christysmithca,Campaign
Johnny Nalbandian,Republican,California,27,Johnny_Congress,Campaign
Eric Early,Republican,California,28,EricEarly_CA,Campaign
Mark Reed,Republican,California,30,MarkReed1776,Campaign
Agnes Gibboney,Republican,California,31,agnes_gibboney,Campaign
Joshua Scott,Republican,California,32,joshuascottca32,Campaign
David Kim,Democratic,California,34,DavidKimForCA,Campaign
Mike Cargile,Republican,California,35,CargileFor,Campaign
Erin Cruz,Republican,California,36,RealErinCruz,Campaign
Errol Webber,Republican,California,37,ErrolWebber,Campaign
Michael Tolar,Democratic,California,38,MichaelTolar6,Campaign
Gil Cisneros,Democratic,California,39,GilCisnerosCA,Campaign
Antonio Delgado,Republican,California,40,cAntonioDelgado,Campaign
Aja Smith,Republican,California,41,AjaforCongress,Campaign
Joe Collins,Republican,California,43,joeecollins3,Campaign
James Waters,Republican,California,46,watersfor,Campaign
John Briscoe,Republican,California,47,johnfbriscoe,Campaign
Harley Rouda,Democratic,California,48,HarleyRouda,Campaign
Brian Maryott,Republican,California,49,brianlmaryott,Campaign
Ammar Campa-Najjar,Democratic,California,50,ACampaNajjar,Campaign
Juan Hidalgo,Republican,California,51,HidalgoCongress,Campaign
Jim DeBello,Republican,California,52,DeBelloCongress,Campaign
Georgette Gómez,Democratic,California,53,SDGeorgette,Campaign
Chris Bubser,Democratic,California,8,bubser4congress,Campaign
Ronda Kennedy,Republican,California,26,ronda4congress,Campaign
Angélica Dueñas,Democratic,California,29,Angelica4CA,Campaign
Liam O'Mara,Democratic,California,42,LiamOMaraIV,Campaign
Scott Giblin,Republican,California,5,None,None
Tony Amador,Republican,California,9,None,None
James Bradley,Republican,California,33,None,None
Analilia Joya,Democratic,California,44,None,None
Dale Mensing,Republican,California,2,MensingDale,Personal
Greg Raths,Republican,California,45,GregRaths,Personal
