Nancy Goroff,"10/07/2020, 00:12:39","How many times have women heard men say ""all you have to do is submit and say yes""? Women don't do what we're told. We do what's right. https://t.co/OA4HBmvQmH",https://twitter.com/ngoroff/status/1313633301924544515
Harley Rouda,"10/20/2020, 00:14:57","Today, as Trump continues his attack on science &amp; Dr. Fauci, remember this.

When OC's top public health officials &amp; their families were sent violent threats, @MichelleSteelCA refused to protect them. She sat idly by as they were pushed out and reversed their mask order.",https://twitter.com/HarleyRouda/status/1318344922550870022
Harley Rouda,"10/19/2020, 15:53:00","🚨ATTN CALIFORNIA🚨

Today is the LAST day to register to vote and receive your mail-in ballot before Election Day. 

It takes less than 2 minutes to register — click the link below and RT to share this important deadline https://t.co/Kni6nmiR89",https://twitter.com/HarleyRouda/status/1318218602667941888
Christina Hale,"10/14/2020, 15:27:08","Dr. Reed's support means the world to me. 

Hoosiers are tired of the partisan politics and gridlock. They're ready to elect a problem-solver who will reach across the aisle and get things done.

That's what I did in the Statehouse and it's exactly what I'll do in Congress. #IN05 https://t.co/o1Ly24cEdK",https://twitter.com/HaleIndy/status/1316400152488288257
Jon Hoadley,"10/22/2020, 00:17:46","We said this was a big goal &amp; we meant it. Our campaign is powered by grassroots donors and every dollar goes a long way towards helping us flip #MI06. #DemCastMI

We have a long way to hit 1,000 donors today with just a few hours left. Chip in $1 tonight: https://t.co/SRgQZH8MYt https://t.co/mnAePmQ6tJ",https://twitter.com/JonHoadley/status/1319070407622823940
Donna Shalala,"10/05/2020, 13:00:02","This election is all about YOU!   VOTE!
https://t.co/oDOpozvXdS https://t.co/hMY6l2A5aj",https://twitter.com/DonnaShalala/status/1313101641105592320
Alan Cohn,"10/27/2020, 17:44:45","We are on the verge of winning this election, but we need your support in the final stretch. Donate here to help us flip Florida’s Congressional Delegation: https://t.co/FRJwdVtdbl https://t.co/257AzxTGHh",https://twitter.com/AlanMCohn/status/1321145824844414978
Amy Kennedy,"10/05/2020, 22:49:42","During these unprecedented times, our teachers are stepping up to keep children learning. 

Thank you and happy #WorldTeachersDay to all of South Jersey's teachers, staff, and educators! https://t.co/fazQpEBVUE",https://twitter.com/AmyKennedy715/status/1313250036847980545
TJ Cox,"10/06/2020, 20:05:00","So you want to talk about drinking water? I'm fulfilling my promise to deliver clean drinking water to the Valley, because I put your health &amp; safety first, and dirty water harms you and your family. https://t.co/tC07AouKiL",https://twitter.com/TJCoxCongress/status/1313570976009863168
Christina Finello,"10/31/2020, 13:06:00","Today, October 31st, drop off your ballots at the dropboxes:

🕸️ Bucks County: 12PM to 5PM
🕸️ Montgomery County (#PA01): 10AM to 6PM https://t.co/op4nXWdUYZ",https://twitter.com/FinelloForPA/status/1322525227968946176
Sri Preston Kulkarni,"10/18/2020, 01:09:02","#MyNameIs Srinivas, meaning an ""abode of good fortune"". My good fortune is the family, friends, and community I've been blessed with—the people that inspire me every day.",https://twitter.com/SriPKulkarni/status/1317633756044382208
Eugene DePasquale,"10/30/2020, 23:23:09","It was great speaking directly with voters today about the importance of getting to the polls on November 3rd and what is at stake in this election. With only 4 days left, make your plan to vote and have your voice heard. #PA10 https://t.co/ePLGTOgwLq",https://twitter.com/DePasqualePA/status/1322318151862943745
"Axne, Cynthia","10/06/2020, 14:28:59","Far too often, Economic Impact Payments that should be going to help survivors of domestic violence and abuse are being stolen by their abusers.

Last week, my colleagues and I urged the IRS and the Treasury Department to implement better safeguards to prevent this theft. #IA03 https://t.co/TGehvUA7Tb",https://twitter.com/RepCindyAxne/status/1313486417021075462
Christina Finello,"10/16/2020, 23:28:12",Thank you to Elias and all of our incredible Field Interns working hard to flip #PA01! Join them this weekend during GOTV! https://t.co/uAVlKeOPCJ https://t.co/Jn0IpYbvnn,https://twitter.com/FinelloForPA/status/1317245993772044288
Joyce Elliott,"11/02/2020, 01:15:46","Yay, Julie. In Greenbrier, right? https://t.co/uNtoVxFOe1",https://twitter.com/xjelliott/status/1323071269525508096
Harley Rouda,"10/13/2020, 16:46:49","I support protecting Americans with pre-existing conditions and lowering prescription drug costs.

My opponent, @MichelleSteelCA, supports @realDonaldTrump — the guy who is actively suing to remove protections for Americans with pre-existing conditions.",https://twitter.com/HarleyRouda/status/1316057818730881024
Gina Ortiz Jones,"10/06/2020, 22:16:42","It's not just patients with pre-existing conditions who could lose their health care if politicians like @TonyGonzales4TX got their way and eliminated the ACA. It's small business owners like Brandy and her husband, too. 

I'm proud to be in this fight for working people. #TX23 https://t.co/SboQJbRyBw",https://twitter.com/GinaOrtizJones/status/1313604118250950656
Jon Hoadley,"10/29/2020, 20:14:53","If folks in #MI06 don't vote, we can't win.

We can't slow down our momentum at all yet - let's finish strong.

Sign up to help us get out the vote this weekend:

https://t.co/ypBU49SXBX",https://twitter.com/JonHoadley/status/1321908384128552962
Gina Ortiz Jones,"10/09/2020, 17:38:00","You too, Wendy! 

Today marks 25 days until the election, but just 4 days until the start of early voting here in Texas! 

We're going to win this by making sure all of our friends and family have a plan to vote: https://t.co/PTJr9ixsJR https://t.co/wi6rsfaVQm",https://twitter.com/GinaOrtizJones/status/1314621146474721281
Joyce Elliott,"10/31/2020, 16:41:38","Great to talk with voters in Searcy this morning!

For more voting information, visit https://t.co/QPCnY6aSX4 or call the Voter Protection Hotline if you experience any issues: (501) 299-5589 https://t.co/HC57uqGPxf",https://twitter.com/xjelliott/status/1322579493236690946
