Darren Hamilton,"10/22/2020, 11:41:04",Yes! Another group stood up to host  debates. This is huge. https://t.co/wqgpFzQN9D,https://twitter.com/DHamilton2020/status/1319242364859416576
John Molnar,"10/22/2020, 23:34:33",@Prometheus19782 Thank you!,https://twitter.com/Gear6A/status/1319421915820249089
Scott Taylor,"10/08/2020, 12:49:04","https://t.co/G5HHMljuEH
2 years ago, I introduced bill that would have started to bring back manufacturing of PPE &amp; Ventilators in USA. 
 
""respiratory protection equipment, and (4) any other critical safety item as determined appropriate by DHS.""

I will get it done. #USA",https://twitter.com/Scotttaylorva/status/1314186045026697216
Harry Burger,"10/27/2020, 01:42:17","After WWII, we created the ICC &amp; ""Crimes Against Humanity"", put Nazis on trial, &amp; hung them. It's past time for something similar to happen for those who wilfully mislead humanity for their private profit where otherwise we could have had decades more to avoid #ClimateChange. https://t.co/QrbAru13lg",https://twitter.com/HarryRBurger/status/1320903613397553154
Rae Hart Anderson,"10/05/2020, 17:20:46","Vote as if your own life depends on it! Certainly millions of babies &amp; thousands of our elderly patriots, grandparents and leaders, deserve to have their lives honored respectfully--not tossed into ""the fullest rest home""-- for a deliberate &amp; early escape to their ""eternal rest"". https://t.co/WdKVFfoVtq",https://twitter.com/GodisHere2day4U/status/1313167256935895041
Dan Feehan,"10/25/2020, 14:43:19","Senator Wellstone is a hero for both my dad and I. On this day, he and I are thinking about Senator Wellstone, Sheila, Marcia, Mary McEvoy, Tom Lapic, and Will McLauhglin who all represented the best of our state and our ideals. (1/3) https://t.co/QTQYrrc8SR",https://twitter.com/danielfeehan/status/1320375392453144580
Harry Burger,"10/28/2020, 13:37:01","EMERGENCY: 10 AM on @WNYC, @BrianLehrer is interviewing the Big 2 candidates for my race but made no effort to contact my campaign &amp; tell the People about ALL the choices on the ballot! Call the show 646-435-7280, email blshow@wnyc.org, demand equal access for @gpny!",https://twitter.com/HarryRBurger/status/1321445870731231233
Harry Burger,"10/31/2020, 23:58:24","Oh, tonight is the one we lose am hour of sleep, just wonderful. Why do we do this again? Why do we want it to get dark so early?
Fcuk #DST",https://twitter.com/HarryRBurger/status/1322689411545485313
Harry Burger,"10/21/2020, 12:55:34","@DystopianR And some wanted it to replace the A-10 Warthog lol. THAT'S an especially terrible idea! A-10 has lots of redundancy, it was made to loiter over a target area for hours, fly low &amp; slow to get eyes on top know friend from foe, &amp; take ground fire like a champ. F-35 has none of that.",https://twitter.com/HarryRBurger/status/1318898723028598784
Harry Burger,"10/21/2020, 18:03:43","@PepperOceanna If I make it into Congress, they're some of my first phone calls. I'm busy campaigning locally, early voting starts Saturday morning.",https://twitter.com/HarryRBurger/status/1318976271968276491
Harry Burger,"10/28/2020, 02:57:13","@healthyairall No, elect #GreenParty leaders instead!",https://twitter.com/HarryRBurger/status/1321284859147489280
Scott Taylor,"10/16/2020, 00:40:45",She was basically debating him. https://t.co/yTvZLJeJmB,https://twitter.com/Scotttaylorva/status/1316901862419927041
Joe Cunningham,"10/30/2020, 20:50:07","In the dark corners of the internet, there are conspiracy theories over whether or not I was actually riding a skateboard in yesterday’s video. 

I mean, who do you think I am? https://t.co/OSBwIn1kG8",https://twitter.com/JoeCunninghamSC/status/1322279639058944000
Scott Taylor,"10/11/2020, 11:38:57","https://t.co/LF8hXz9QJP.  Fortunately, there were no ballots in the 70lbs of mail someone decided to throw out...this time. 

However, there were a bunch of our campaign’s mailers in a pretty Republican area.",https://twitter.com/Scotttaylorva/status/1315255566458068996
Kenneth Tucker,"11/02/2020, 19:40:09",I obviously have no idea how the media or social media works but I’m shocked that I have gotten no real press from my adventures round #IN05 a political candidate speaking to everyone everywhere about anything and no one seems interested. @FOX59 @Wthr @WFYINews @WBBMNewsradio,https://twitter.com/aguyfromindiana/status/1323349196246675456
Harry Burger,"10/21/2020, 20:02:28",@Milou1504 @kthibs @ClimateHuman #UniversalHealthcare is only impossible until the People wake up &amp; demand it.,https://twitter.com/HarryRBurger/status/1319006157172858883
Tommy Wakely,"10/23/2020, 16:37:59",Discuss the 2 issues that are most important to voters in #TX21 which is healthcare &amp; #ClimateChange @indivisibleATX Explain that #Medicare4All is way better than the ACA; explain that we need to ban fracking to fight this #ClimateEmergency &amp; ask them to Vote Policy Over Party https://t.co/80xoUEizdc https://t.co/ECHxkpMGJ3,https://twitter.com/Wakely2020/status/1319679473176989696
Kenneth Tucker,"10/21/2020, 00:34:19",Another great #TuesdayswithTucker with the people of #IN05 majority of tonight's discussion was @RainwaterForIN for the win in tonight's #Indiana Gov Debate now I'm hoping someone #stealsmeataco during #WorldSeries for some sustenance on the road tomorrow. #VoteGold2020 https://t.co/THgZEp9cmn,https://twitter.com/aguyfromindiana/status/1318712180708093952
Harry Burger,"10/15/2020, 14:48:12","@realmegslay @BengxlChai @JJisASocialist How many $s have you contributed to Green campaigns? We have very little 💰, lots of expenses, &amp; no major party support. The Big 2 have teams working full time to do stuff like graphic design for all their candidates in a state. We need to find a volunteer w/the right skills.",https://twitter.com/HarryRBurger/status/1316752742183047168
Harry Burger,"10/15/2020, 02:47:04","We have upset the balance, badly. It will push back, hard.",https://twitter.com/HarryRBurger/status/1316571262626529280
Joe Cunningham,"10/25/2020, 18:52:12",Great turnout at our final yard sign drive-thru up in Summerville today. 9 days left! https://t.co/4C2PN0QiUm,https://twitter.com/JoeCunninghamSC/status/1320438025164410888
John Molnar,"10/22/2020, 23:43:31","@KolleneSnow Also, this link has the videos PBS filmed for every candidate in the race including me

https://t.co/KAA42wsRGF",https://twitter.com/Gear6A/status/1319424173148499968
Harry Burger,"10/28/2020, 15:37:17","They're not taking any listener calls for this segment. He's interviewing the Dem &amp; Rep sequentially &amp; separately for equal time, but not me, the @gpny candidate.",https://twitter.com/HarryRBurger/status/1321476134761091072
Scott Taylor,"10/14/2020, 23:53:20",Ended the night speaking with the great Republicans of Williamsburg and James City County. Let’s go! 🇺🇸 https://t.co/lLjsELL6AD,https://twitter.com/Scotttaylorva/status/1316527543428755456
Joe Cunningham,"10/16/2020, 21:47:43","Circling back here...

Can we talk about how @NancyMace is visibly upset that Parris Island isn’t in jeopardy? 

Lowcountry first, right Nancy? 😉 https://t.co/iDbRez2nat",https://twitter.com/JoeCunninghamSC/status/1317220703289081862
Christy Smith,"10/06/2020, 19:04:23",@Geek_MomLG @388shark Thank you!!,https://twitter.com/ChristySmithCA/status/1313555720453775360
Tommy Wakely,"11/01/2020, 14:44:11","#TX21 liberals who shame voters supporting our campaign comes as no surprise to me &amp; if ⁦@wendydavis⁩ loses there will be plenty of more applicable people for TX Democrats to blame. Namely, themselves ⁦@TX21Indivisible⁩ ⁦@TXGreens⁩ https://t.co/fuovcmRjyj",https://twitter.com/Wakely2020/status/1322912323112181763
Harry Burger,"10/12/2020, 20:53:20",@mathemattic @kennethmejiaLA @MGKLH @FrancaMullerPaz @Jake4D6 @EstradaForMayor @voteAhill @LisaForMaine @2020Creviere @hoffman4US2020 @Green4Ward3 @Greenfield4NY19 @justin4all2 @MikeForBuffalo @MrDunes @BagdesCanning @Alex4Oregon Green Lantern is so underrated.,https://twitter.com/HarryRBurger/status/1315757465867292673
Harry Burger,"10/04/2020, 20:13:18",@leftisttx Yes.,https://twitter.com/HarryRBurger/status/1312848291890188295
Christy Smith,"10/16/2020, 04:12:03","Will you stand up to this president yet, @MikeGarcia2020? CA residents pay taxes and our fire victims desperately need help. This is inexcusable. https://t.co/vJGDIw5Y6y",https://twitter.com/ChristySmithCA/status/1316955037386592258
Christy Smith,"10/13/2020, 14:01:06","While I think it’s critically important for voters to hear from the candidates seeking to represent them, it’s more important still that we do the jobs that we’re elected to do.",https://twitter.com/ChristySmithCA/status/1316016112086085632
Scott Taylor,"10/28/2020, 12:32:17","""Aspirational"" @ElaineLuriaVA on the Green New Deal. https://t.co/Y6IA7XyZXm",https://twitter.com/Scotttaylorva/status/1321429578473185280
Mark Bauer,"10/23/2020, 12:57:07",@TitusLive Hahaha nice 👊,https://twitter.com/MarkBauer/status/1319623889383788545
