Jenny Sharon,"11/02/2020, 15:07:23",@ladygaga #Trump2020,https://twitter.com/jenny4congress/status/1323280551239929856
Theresa Raborn,"11/02/2020, 01:56:56","The tide is forming and Tuesday is will come forth as the greatest red tsunami our great nation has ever seen!  

History in the making! https://t.co/5oRNmZ6Yql",https://twitter.com/Raborn4Congress/status/1323081629728940040
Josh Barnett,"10/29/2020, 14:45:12",@elo3852 @JDRucker There’s so much wrong with these I don’t even have time to correct them. Please do your research and not on cnn,https://twitter.com/BarnettforAZ/status/1321825417313939461
Josh Barnett,"10/23/2020, 15:46:14","@9thFloorAZ The use of hydroxychloroquine, zinc and azithromycin reduces hospitalization by 84%. Why is it not being widely used? @zev_dr @richardursomd @JamesTodaroMD",https://twitter.com/BarnettforAZ/status/1319666451502919680
Kimberly Klacik,"10/03/2020, 02:45:23","Just wanted to take a second to point out members of Congress were able to hash a deal avoiding a government shutdown, guaranteeing their paychecks, but can’t agree on a stimulus to help the people they were elected to represent.

Pls stop voting for these clowns.
November 3rd 🇺🇸",https://twitter.com/kimKBaltimore/status/1312222185239478272
Jeff Gorman,"10/10/2020, 20:42:19",@QmagaMike @DcdRetblue @FarRight1_2 @7mdk7 @Brixea @DFBHarvard @BelannF @Boweadroit @702barry @kwick1988 @gringo_maximo @GATrumpster @alexmjordan @JeffreyFrye @Rykwilliamz @TDogPatriot @marsha20201 @SealeyGerald @JDPHD2 @JHTX77 @tweets4poppy @RickPhi1 @chiefkelley46 @rowdydowdys1 @Lybio @onebigbeer https://t.co/74BIPp0ma4,https://twitter.com/JeffGormanMRY/status/1315029919487848449
Jenny Sharon,"10/08/2020, 02:14:04","@TheJordanRachel @fliflisky She is a child. I’m still waiting for her giggle fest.
#VPDebates 
#KamalaHarris",https://twitter.com/jenny4congress/status/1314026242207817728
George Mitris,"10/16/2020, 23:55:36","If you missed the debate, here it is. It gets really interesting at third question. #roc @swatchic404 @maskulada @LovelyWarrenRoc @lovelyawarren @BobLonsberry https://t.co/EpJX0Mdx89",https://twitter.com/GeorgeMitris1/status/1317252889375629315
Wesley Hunt,"11/02/2020, 16:49:37","No better way to start the day than breakfast &amp; quality conversation with the folks at Buffalo Grille here in #TX07.

If you haven't done so already, make sure to head to the polls tomorrow &amp; #vote! https://t.co/79kPadFOOf",https://twitter.com/WesleyHuntTX/status/1323306279691902977
Luke Negron,"10/04/2020, 21:39:53",The President is battling Covid and has still done more appearances than Biden today. https://t.co/HaINATGbPM,https://twitter.com/LukeEdison20/status/1312870081244942337
Brian Maryott,"10/10/2020, 16:18:57",So if BLM’s agenda (BREATH Act) passes - how do we lock this guy up? (calls for no more jails) Black Lives dont just “matter”- that choice of words is condescending and offensive- Black Lives Are Precious. But the BLM legislative agenda is dangerous. #CA49 https://t.co/ibjl8TsIQR,https://twitter.com/brianlmaryott/status/1314963642622697474
