Kweisi Mfume,Democratic,Special elections,0,Mfume4Congress,Campaign
Mike Garcia,Republican,Special elections,0,RepMikeGarcia,Official
Tom Tiffany,Republican,Special elections,0,TomTiffanyWI,Campaign
Chris Jacobs,Republican,Special elections,0,Missing,Missing
Kwanza Hall,Democratic,Special elections,0,None,None
Jerry Carl,Republican,Alabama,1,RepJerryCarl,Official
Barry Moore,Republican,Alabama,2,RepBarryMoore,Official
Mike Rogers,Republican,Alabama,3,RepMikeRogersAL,Official
Robert Aderholt,Republican,Alabama,4,Robert_Aderholt,Official
Mo Brooks,Republican,Alabama,5,MoBrooks,Campaign
Gary Palmer,Republican,Alabama,6,USRepGaryPalmer,Official
Terri Sewell,Democratic,Alabama,7,RepTerriSewell,Official
Don Young,Republican,Alaska,1,None,None
Tom O'Halleran,Democratic,Arizona,1,repohalleran,Official
Ann Kirkpatrick,Democratic,Arizona,2,Ann_Kirkpatrick,Campaign
Raúl Grijalva,Democratic,Arizona,3,Missing,Missing
Paul Gosar,Republican,Arizona,4,DrPaulGosar,Personal
Andy Biggs,Republican,Arizona,5,andybiggs4az,Campaign
David Schweikert,Republican,Arizona,6,RepDavid,Official
Ruben Gallego,Democratic,Arizona,7,RepRubenGallego,Official
Debbie Lesko,Republican,Arizona,8,DebbieLesko,Campaign
Greg Stanton,Democratic,Arizona,9,gregstantonaz,Campaign
Rick Crawford,Republican,Arkansas,1,RepRickCrawford,Official
French Hill,Republican,Arkansas,2,RepFrenchHill,Official
Steve Womack,Republican,Arkansas,3,rep_stevewomack,Official
Bruce Westerman,Republican,Arkansas,4,bruce_westerman,Personal
Doug LaMalfa,Republican,California,1,DougLaMalfa,Campaign
Jared Huffman,Democratic,California,2,JaredHuffman,Campaign
John Garamendi,Democratic,California,3,JohnGaramendi,Campaign
Tom McClintock,Republican,California,4,RepMcClintock,Official
Mike Thompson,Democratic,California,5,Mike_CA05,Campaign
Doris Matsui,Democratic,California,6,Matsui4Congress,Campaign
Ami Bera,Democratic,California,7,RepBera,Official
Jay Obernolte,Republican,California,8,TeamObernolte,Campaign
Jerry McNerney,Democratic,California,9,jerrymcnerney,Campaign
Josh Harder,Democratic,California,10,JoshHarder,Campaign
Mark DeSaulnier,Democratic,California,11,MarkDeSaulnier,Campaign
Nancy Pelosi,Democratic,California,12,SpeakerPelosi,Official
Barbara Lee,Democratic,California,13,BLeeForCongress,Campaign
Jackie Speier,Democratic,California,14,JackieSpeier,Campaign
Eric Swalwell,Democratic,California,15,ericswalwell,Campaign
Jim Costa,Democratic,California,16,RepJimCosta,Official
Ro Khanna,Democratic,California,17,RoKhanna,Campaign
Anna Eshoo,Democratic,California,18,RepAnnaEshoo,Official
Zoe Lofgren,Democratic,California,19,ZoeLofgren,Campaign
Jimmy Panetta,Democratic,California,20,RepJimmyPanetta,Official
David Valadao,Republican,California,21,RepDavidValadao,Official
Devin Nunes,Republican,California,22,Team_Nunes,Campaign
Kevin McCarthy,Republican,California,23,kevinomccarthy,Campaign
Salud Carbajal,Democratic,California,24,RepCarbajal,Official
Mike Garcia,Republican,California,25,RepMikeGarcia,Official
Julia Brownley,Democratic,California,26,JuliaBrownley,Campaign
